Tier	Begin time	End time	Duration	Annotation
annotation	00:00:09.875	00:00:10.606	0.731	R
annotation	00:00:10.606	00:00:11.337	0.731	G
annotation	00:00:11.337	00:00:11.702	0.365	G
annotation	00:00:11.702	00:00:12.068	0.365	R
annotation	00:00:12.068	00:00:12.799	0.731	S
annotation	00:00:12.799	00:00:13.164	0.365	S
annotation	00:00:13.164	00:00:13.530	0.365	R
annotation	00:00:13.530	00:00:13.895	0.365	S
annotation	00:00:13.895	00:00:14.261	0.365	S
annotation	00:00:14.261	00:00:14.626	0.365	D
annotation	00:00:14.626	00:00:14.992	0.365	M
annotation	00:00:14.992	00:00:15.726	0.7340000000000001	D
annotation	00:00:15.726	00:00:16.092	0.365	M
annotation	00:00:16.092	00:00:16.457	0.365	D
annotation	00:00:16.457	00:00:16.822	0.365	S
annotation	00:00:31.870	00:00:32.193	0.32299999999999995	R
annotation	00:00:32.193	00:00:32.515	0.32299999999999995	G
annotation	00:00:32.515	00:00:32.838	0.32299999999999995	M
annotation	00:00:32.838	00:00:33.483	0.645	G
annotation	00:00:33.483	00:00:33.806	0.32299999999999995	M
annotation	00:00:33.806	00:00:34.128	0.32299999999999995	R
annotation	00:00:34.128	00:00:34.451	0.32299999999999995	G
annotation	00:00:34.451	00:00:34.773	0.32299999999999995	S
annotation	00:00:34.773	00:00:35.418	0.645	R
annotation	00:00:35.418	00:00:35.741	0.32299999999999995	D
annotation	00:00:35.741	00:00:36.064	0.32299999999999995	S
annotation	00:00:36.064	00:00:36.386	0.32299999999999995	R
annotation	00:00:36.386	00:00:36.709	0.32299999999999995	G
annotation	00:00:36.709	00:00:37.031	0.32299999999999995	M
annotation	00:00:37.031	00:00:37.397	0.365	D
annotation	00:00:37.397	00:00:37.762	0.365	M
annotation	00:00:37.762	00:00:38.128	0.365	D
annotation	00:00:52.754	00:00:53.084	0.33	S^
annotation	00:00:53.084	00:00:53.415	0.33	S^
annotation	00:00:53.415	00:00:53.745	0.33	D
annotation	00:00:53.745	00:00:54.406	0.6609999999999999	D
annotation	00:00:54.406	00:00:54.737	0.33	M
annotation	00:00:54.737	00:00:55.067	0.33	D
annotation	00:00:55.067	00:00:55.398	0.33	D
annotation	00:00:55.398	00:00:55.728	0.33	M
annotation	00:00:55.728	00:00:56.389	0.6609999999999999	G
annotation	00:00:56.389	00:00:56.719	0.33	R
annotation	00:00:56.719	00:00:57.050	0.33	G
annotation	00:00:57.050	00:00:57.380	0.33	M
annotation	00:00:57.380	00:00:57.711	0.33	R
annotation	00:00:57.711	00:00:58.041	0.33	G
annotation	00:00:58.041	00:00:58.363	0.322	S
annotation	00:00:58.363	00:00:58.686	0.322	R
annotation	00:00:58.686	00:00:59.008	0.322	G
annotation	00:00:59.008	00:00:59.653	0.645	M
annotation	00:00:59.653	00:00:59.975	0.322	M
annotation	00:00:59.975	00:01:00.297	0.322	D
annotation	00:01:00.297	00:01:00.620	0.322	M
annotation	00:01:00.620	00:01:00.942	0.322	G
annotation	00:01:00.942	00:01:01.264	0.322	R
annotation	00:01:01.264	00:01:01.587	0.322	G
annotation	00:01:01.587	00:01:01.909	0.322	M
annotation	00:01:01.909	00:01:02.231	0.322	D
annotation	00:01:02.231	00:01:02.554	0.322	D
annotation	00:01:02.554	00:01:03.198	0.645	S^
annotation	00:01:03.198	00:01:03.521	0.32299999999999995	D
annotation	00:01:03.521	00:01:03.844	0.32299999999999995	S^
annotation	00:01:03.844	00:01:04.167	0.32299999999999995	R^
annotation	00:01:04.167	00:01:04.812	0.645	S^
annotation	00:01:04.812	00:01:05.135	0.32299999999999995	R^
annotation	00:01:05.135	00:01:05.458	0.32299999999999995	G
annotation	00:01:05.458	00:01:05.780	0.32299999999999995	M^
annotation	00:01:05.780	00:01:06.103	0.32299999999999995	R^
annotation	00:01:06.103	00:01:06.749	0.645	G^
annotation	00:01:06.749	00:01:07.071	0.32299999999999995	M
annotation	00:01:07.071	00:01:07.394	0.32299999999999995	G^
annotation	00:01:07.394	00:01:07.717	0.32299999999999995	G^
annotation	00:01:07.717	00:01:08.039	0.32299999999999995	R^
annotation	00:01:08.039	00:01:08.362	0.32299999999999995	S^
annotation	00:01:33.943	00:01:34.258	0.315	R
annotation	00:01:34.258	00:01:34.573	0.315	G
annotation	00:01:34.573	00:01:34.889	0.315	M
annotation	00:01:34.889	00:01:35.519	0.63	R
annotation	00:01:35.519	00:01:35.834	0.315	G
annotation	00:01:35.834	00:01:36.149	0.315	S
annotation	00:01:36.149	00:01:36.464	0.315	R
annotation	00:01:36.464	00:01:36.780	0.315	G
annotation	00:01:36.780	00:01:37.410	0.63	S
annotation	00:01:37.410	00:01:37.725	0.315	R
annotation	00:01:37.725	00:01:38.040	0.315	S
annotation	00:01:38.040	00:01:38.356	0.315	D
annotation	00:01:38.356	00:01:38.671	0.315	M
annotation	00:01:38.671	00:01:38.986	0.315	D
annotation	00:01:38.986	00:01:39.351	0.365	S
annotation	00:01:39.351	00:01:39.717	0.365	D
annotation	00:01:39.717	00:01:40.082	0.365	S
annotation	00:01:55.826	00:01:56.144	0.319	M
annotation	00:01:56.144	00:01:56.463	0.319	D
annotation	00:01:56.463	00:01:56.781	0.319	M
annotation	00:01:56.781	00:01:57.100	0.319	D
annotation	00:01:57.100	00:01:57.737	0.637	S^
annotation	00:01:57.737	00:01:58.056	0.319	R^
annotation	00:01:58.056	00:01:58.375	0.319	G^
annotation	00:01:58.375	00:01:58.693	0.319	S^
annotation	00:01:58.693	00:01:59.012	0.319	R^
annotation	00:01:59.012	00:01:59.331	0.319	G^
annotation	00:01:59.331	00:01:59.696	0.365	M^
annotation	00:01:59.696	00:02:00.062	0.365	G^
annotation	00:02:00.062	00:02:00.427	0.365	R^
annotation	00:03:06.329	00:03:06.960	0.63	M
annotation	00:03:06.960	00:03:07.275	0.315	D
annotation	00:03:07.275	00:03:07.590	0.315	M
annotation	00:03:07.590	00:03:08.851	1.261	D
annotation	00:03:08.851	00:03:09.166	0.315	D
annotation	00:03:09.166	00:03:09.482	0.315	S^
annotation	00:03:09.482	00:03:09.797	0.315	D
annotation	00:03:09.797	00:03:10.112	0.315	M
annotation	00:03:10.112	00:03:10.427	0.315	D
annotation	00:03:10.427	00:03:10.743	0.315	D
annotation	00:03:10.743	00:03:11.373	0.63	S^
annotation	00:03:11.373	00:03:11.739	0.365	D
annotation	00:03:11.739	00:03:12.104	0.365	S^
annotation	00:03:12.104	00:03:12.470	0.365	D
annotation	00:03:12.470	00:03:12.835	0.365	D
annotation	00:03:26.920	00:03:28.857	1.9369999999999998	M
annotation	00:03:28.857	00:03:29.503	0.6459999999999999	D
annotation	00:03:29.503	00:03:30.149	0.6459999999999999	M
annotation	00:03:30.149	00:03:31.440	1.2919999999999998	D
annotation	00:03:31.440	00:03:32.086	0.6459999999999999	S^
annotation	00:03:32.086	00:03:32.739	0.652	D
annotation	00:03:32.739	00:03:34.044	1.305	M
