Tier	Begin time	End time	Duration	Annotation
annotation	00:00:09.335	00:00:10.019	0.684	R
annotation	00:00:10.019	00:00:10.627	0.608	G
annotation	00:00:10.627	00:00:10.955	0.32799999999999996	G
annotation	00:00:10.955	00:00:11.283	0.32799999999999996	R
annotation	00:00:11.283	00:00:11.935	0.652	S
annotation	00:00:11.935	00:00:12.235	0.3	S
annotation	00:00:12.235	00:00:12.535	0.3	R
annotation	00:00:12.535	00:00:12.855	0.32	S
annotation	00:00:12.855	00:00:13.175	0.32	S
annotation	00:00:13.175	00:00:13.455	0.281	D
annotation	00:00:13.455	00:00:13.736	0.281	M
annotation	00:00:13.736	00:00:14.457	0.721	D
annotation	00:00:14.457	00:00:14.823	0.366	M
annotation	00:00:14.823	00:00:15.189	0.366	D
annotation	00:00:15.189	00:00:15.524	0.335	S
annotation	00:00:15.524	00:00:16.208	0.684	D
annotation	00:00:16.208	00:00:16.557	0.349	S
annotation	00:00:16.557	00:00:16.890	0.33299999999999996	D
annotation	00:00:16.890	00:00:17.224	0.33299999999999996	S
annotation	00:00:17.224	00:00:17.533	0.309	R
annotation	00:00:30.831	00:00:31.151	0.32	R
annotation	00:00:31.151	00:00:31.470	0.32	G
annotation	00:00:31.470	00:00:31.783	0.312	M
annotation	00:00:31.783	00:00:32.421	0.639	G
annotation	00:00:32.421	00:00:32.748	0.327	M
annotation	00:00:32.748	00:00:33.103	0.355	R
annotation	00:00:33.103	00:00:33.457	0.355	G
annotation	00:00:33.457	00:00:33.814	0.35700000000000004	S
annotation	00:00:33.814	00:00:34.507	0.6920000000000001	R
annotation	00:00:34.507	00:00:34.842	0.335	D
annotation	00:00:34.842	00:00:35.162	0.32	S
annotation	00:00:35.162	00:00:35.482	0.32	R
annotation	00:00:35.482	00:00:35.786	0.305	G
annotation	00:00:35.786	00:00:36.091	0.305	M
annotation	00:00:36.091	00:00:36.456	0.364	D
annotation	00:00:36.456	00:00:36.820	0.364	M
annotation	00:00:36.820	00:00:37.180	0.36	D
annotation	00:00:37.180	00:00:37.875	0.695	S^
annotation	00:00:37.875	00:00:38.209	0.33399999999999996	S^
annotation	00:00:38.209	00:00:38.512	0.303	D
annotation	00:00:38.512	00:00:38.815	0.303	S^
annotation	00:00:38.815	00:00:39.162	0.348	D
annotation	00:00:39.162	00:00:39.803	0.64	M
annotation	00:00:39.803	00:00:40.095	0.292	G
annotation	00:00:40.095	00:00:40.387	0.292	M
annotation	00:00:40.387	00:00:40.679	0.292	G
annotation	00:00:40.679	00:00:40.988	0.309	R
annotation	00:00:40.988	00:00:41.297	0.309	S
annotation	00:00:51.807	00:00:52.175	0.368	S^
annotation	00:00:52.175	00:00:52.542	0.368	S^
annotation	00:00:52.542	00:00:52.873	0.331	D
annotation	00:00:52.873	00:00:53.540	0.667	D
annotation	00:00:53.540	00:00:53.876	0.336	M
annotation	00:00:53.876	00:00:54.232	0.355	D
annotation	00:00:54.232	00:00:54.587	0.355	D
annotation	00:00:54.587	00:00:54.914	0.327	M
annotation	00:00:54.914	00:00:55.596	0.682	G
annotation	00:00:55.596	00:00:55.952	0.355	R
annotation	00:00:55.952	00:00:56.309	0.35700000000000004	G
annotation	00:00:56.309	00:00:56.666	0.35700000000000004	M
annotation	00:00:56.666	00:00:57.015	0.349	R
annotation	00:00:57.015	00:00:57.364	0.349	G
annotation	00:00:57.364	00:00:57.695	0.331	S
annotation	00:00:57.695	00:00:58.026	0.331	R
annotation	00:00:58.026	00:00:58.342	0.316	G
annotation	00:00:58.342	00:00:58.971	0.629	M
annotation	00:00:58.971	00:00:59.284	0.313	M
annotation	00:00:59.284	00:00:59.621	0.337	D
annotation	00:00:59.621	00:00:59.958	0.337	M
annotation	00:00:59.958	00:01:00.313	0.355	G
annotation	00:01:00.313	00:01:00.668	0.355	R
annotation	00:01:00.668	00:01:00.998	0.33	G
annotation	00:01:00.998	00:01:01.328	0.33	M
annotation	00:01:01.328	00:01:01.669	0.342	D
annotation	00:01:01.669	00:01:02.011	0.342	D
annotation	00:01:02.011	00:01:02.758	0.747	S^
annotation	00:01:02.758	00:01:03.072	0.313	D
annotation	00:01:03.072	00:01:03.385	0.313	S^
annotation	00:01:03.385	00:01:03.741	0.35700000000000004	R^
annotation	00:01:03.741	00:01:04.408	0.6659999999999999	S^
annotation	00:01:04.408	00:01:04.718	0.31	R^
annotation	00:01:04.718	00:01:05.020	0.302	G
annotation	00:01:05.020	00:01:05.322	0.302	M^
annotation	00:01:05.322	00:01:05.642	0.321	R^
annotation	00:01:05.642	00:01:06.325	0.6829999999999999	G^
annotation	00:01:06.325	00:01:06.687	0.36200000000000004	M
annotation	00:01:06.687	00:01:07.006	0.319	G^
annotation	00:01:07.006	00:01:07.325	0.319	G^
annotation	00:01:07.325	00:01:07.610	0.285	R^
annotation	00:01:07.610	00:01:07.896	0.285	S^
annotation	00:01:07.896	00:01:08.223	0.327	R^
annotation	00:01:08.223	00:01:08.550	0.327	G^
annotation	00:01:08.550	00:01:08.869	0.319	R^
annotation	00:01:08.869	00:01:09.189	0.319	S^
annotation	00:01:09.189	00:01:09.512	0.32299999999999995	R^
annotation	00:01:09.512	00:01:09.836	0.32299999999999995	D
annotation	00:01:09.836	00:01:10.183	0.34700000000000003	R^
annotation	00:01:10.183	00:01:10.530	0.34700000000000003	S^
annotation	00:01:10.530	00:01:10.939	0.409	S^
annotation	00:01:10.939	00:01:11.348	0.409	D
annotation	00:01:11.348	00:01:11.720	0.37200000000000005	M
annotation	00:01:11.720	00:01:12.093	0.37200000000000005	D
annotation	00:01:12.093	00:01:12.472	0.38	M
annotation	00:01:12.472	00:01:12.852	0.38	G
annotation	00:01:12.852	00:01:13.229	0.377	R
annotation	00:01:13.229	00:01:13.606	0.377	S
annotation	00:01:35.191	00:01:35.526	0.335	R
annotation	00:01:35.526	00:01:35.861	0.335	G
annotation	00:01:35.861	00:01:36.204	0.344	M
annotation	00:01:36.204	00:01:36.864	0.66	R
annotation	00:01:36.864	00:01:37.180	0.316	G
annotation	00:01:37.180	00:01:37.546	0.366	S
annotation	00:01:37.546	00:01:37.912	0.366	R
annotation	00:01:37.912	00:01:38.253	0.34	G
annotation	00:01:38.253	00:01:38.934	0.6809999999999999	S
annotation	00:01:38.934	00:01:39.275	0.341	R
annotation	00:01:39.275	00:01:39.642	0.36700000000000005	S
annotation	00:01:39.642	00:01:40.010	0.36700000000000005	D
annotation	00:01:40.010	00:01:40.347	0.33799999999999997	M
annotation	00:01:40.347	00:01:40.685	0.33799999999999997	D
annotation	00:01:40.685	00:01:40.995	0.31	S
annotation	00:01:40.995	00:01:41.306	0.31	D
annotation	00:01:41.306	00:01:41.654	0.349	S
annotation	00:01:41.654	00:01:42.320	0.6659999999999999	R
annotation	00:01:42.320	00:01:42.638	0.317	R
annotation	00:01:42.638	00:01:42.954	0.316	G
annotation	00:01:42.954	00:01:43.271	0.316	S
annotation	00:01:43.271	00:01:43.600	0.33	R
annotation	00:01:43.600	00:01:44.268	0.6679999999999999	M
annotation	00:01:44.268	00:01:44.606	0.33799999999999997	D
annotation	00:01:44.606	00:01:44.968	0.361	M
annotation	00:01:44.968	00:01:45.329	0.361	G
annotation	00:01:45.329	00:01:45.665	0.336	R
annotation	00:01:45.665	00:01:46.002	0.336	S
annotation	00:01:56.652	00:01:56.956	0.304	R
annotation	00:01:56.956	00:01:57.261	0.304	G
annotation	00:01:57.261	00:01:57.568	0.308	M
annotation	00:01:57.568	00:01:58.209	0.64	G
annotation	00:01:58.209	00:01:58.541	0.332	M
annotation	00:01:58.541	00:01:58.855	0.314	D
annotation	00:01:58.855	00:01:59.170	0.314	M
annotation	00:01:59.170	00:01:59.501	0.332	D
annotation	00:01:59.501	00:02:00.156	0.655	S^
annotation	00:02:00.156	00:02:00.479	0.32299999999999995	R^
annotation	00:02:00.480	00:02:00.819	0.34	G^
annotation	00:02:00.819	00:02:01.159	0.34	S^
annotation	00:02:01.159	00:02:01.485	0.327	R^
annotation	00:02:01.485	00:02:01.812	0.327	G^
annotation	00:02:01.812	00:02:02.156	0.344	M^
annotation	00:02:02.156	00:02:02.501	0.344	G^
annotation	00:02:02.501	00:02:02.842	0.341	R^
annotation	00:02:02.842	00:02:03.528	0.6859999999999999	G^
annotation	00:02:03.528	00:02:03.872	0.344	R^
annotation	00:02:03.872	00:02:04.203	0.331	S^
annotation	00:02:04.203	00:02:04.533	0.331	D
annotation	00:02:04.533	00:02:04.867	0.33399999999999996	R^
annotation	00:02:04.867	00:02:05.537	0.67	S^
annotation	00:02:05.537	00:02:05.874	0.337	D
annotation	00:02:05.874	00:02:06.238	0.363	M
annotation	00:02:06.238	00:02:06.601	0.363	G
annotation	00:02:06.601	00:02:06.942	0.341	R
annotation	00:02:06.942	00:02:07.283	0.341	S
annotation	00:03:00.981	00:03:01.768	0.787	M
annotation	00:03:01.768	00:03:02.093	0.324	D
annotation	00:03:02.093	00:03:02.417	0.324	M
annotation	00:03:02.417	00:03:03.835	1.4180000000000001	D
annotation	00:03:03.835	00:03:04.196	0.36	D
annotation	00:03:04.196	00:03:04.556	0.36	S^
annotation	00:03:04.556	00:03:04.892	0.335	D
annotation	00:03:04.892	00:03:05.227	0.335	M
annotation	00:03:05.227	00:03:05.562	0.335	D
annotation	00:03:05.562	00:03:05.897	0.335	D
annotation	00:03:05.897	00:03:06.595	0.6990000000000001	S^
annotation	00:03:06.595	00:03:06.935	0.34	D
annotation	00:03:06.935	00:03:07.275	0.34	S^
annotation	00:03:07.275	00:03:07.621	0.34700000000000003	D
annotation	00:03:07.621	00:03:07.968	0.34700000000000003	D
annotation	00:03:07.968	00:03:08.685	0.7170000000000001	M
annotation	00:03:08.685	00:03:09.015	0.33	G
annotation	00:03:09.015	00:03:09.345	0.33	M
annotation	00:03:09.345	00:03:09.659	0.314	G
annotation	00:03:09.659	00:03:09.973	0.314	R
annotation	00:03:09.973	00:03:10.313	0.34	S
annotation	00:03:10.313	00:03:10.654	0.34	R
annotation	00:03:10.654	00:03:11.010	0.35700000000000004	G
annotation	00:03:11.010	00:03:11.367	0.35700000000000004	S
annotation	00:03:11.367	00:03:11.703	0.335	R
annotation	00:03:11.703	00:03:12.038	0.335	G
annotation	00:03:22.781	00:03:24.685	1.9040000000000001	M
annotation	00:03:24.685	00:03:25.260	0.575	D
annotation	00:03:25.260	00:03:25.963	0.703	M
annotation	00:03:25.963	00:03:27.247	1.284	D
annotation	00:03:27.247	00:03:27.954	0.7070000000000001	S^
annotation	00:03:27.954	00:03:28.628	0.674	D
annotation	00:03:28.628	00:03:29.946	1.318	M
annotation	00:03:29.946	00:03:30.499	0.5529999999999999	G
annotation	00:03:30.499	00:03:31.114	0.614	R
annotation	00:03:31.114	00:03:32.051	0.937	S
annotation	00:03:38.115	00:03:39.042	0.9259999999999999	M
annotation	00:03:39.042	00:03:39.349	0.308	D
annotation	00:03:39.350	00:03:39.652	0.303	M
annotation	00:03:39.652	00:03:40.292	0.64	D
annotation	00:03:40.292	00:03:40.630	0.337	S^
annotation	00:03:40.630	00:03:40.961	0.331	D
annotation	00:03:40.961	00:03:41.633	0.672	M
annotation	00:03:41.633	00:03:41.973	0.34	G
annotation	00:03:41.973	00:03:42.317	0.344	R
annotation	00:03:42.317	00:03:42.806	0.489	S
annotation	00:03:42.806	00:03:43.095	0.289	R
annotation	00:03:43.095	00:03:43.239	0.14400000000000002	G
annotation	00:03:43.239	00:03:43.930	0.69	M
annotation	00:03:43.930	00:03:44.260	0.33	D
annotation	00:03:44.260	00:03:44.590	0.33	M
annotation	00:03:44.590	00:03:45.919	1.329	D
annotation	00:03:45.919	00:03:46.229	0.309	D
annotation	00:03:46.229	00:03:46.538	0.309	S^
annotation	00:03:46.538	00:03:46.875	0.337	D
annotation	00:03:46.875	00:03:47.212	0.337	M
annotation	00:03:47.212	00:03:47.532	0.32	D
annotation	00:03:47.532	00:03:47.852	0.32	D
annotation	00:03:47.852	00:03:48.453	0.601	S^
annotation	00:03:48.453	00:03:48.791	0.33799999999999997	D
annotation	00:03:48.791	00:03:49.129	0.33799999999999997	S^
annotation	00:03:49.129	00:03:49.439	0.31	D
annotation	00:03:49.439	00:03:49.749	0.31	D
annotation	00:03:49.749	00:03:50.462	0.713	M
annotation	00:03:50.462	00:03:50.808	0.345	G
annotation	00:03:50.808	00:03:51.153	0.345	M
annotation	00:03:51.153	00:03:51.489	0.336	G
annotation	00:03:51.489	00:03:51.824	0.336	R
annotation	00:03:51.824	00:03:52.145	0.32	S
annotation	00:03:52.145	00:03:52.465	0.32	R
annotation	00:03:52.465	00:03:52.805	0.34	G
annotation	00:03:52.805	00:03:53.145	0.34	S
annotation	00:03:53.145	00:03:53.442	0.297	R
annotation	00:03:53.442	00:03:53.739	0.297	G
annotation	00:03:53.739	00:03:54.054	0.316	M
annotation	00:03:54.054	00:03:54.370	0.316	D
annotation	00:03:54.370	00:03:54.683	0.313	S^
annotation	00:03:54.683	00:03:55.311	0.628	D
annotation	00:03:55.311	00:03:55.626	0.315	M
annotation	00:03:55.626	00:03:55.965	0.33899999999999997	D
annotation	00:03:55.965	00:03:56.304	0.33899999999999997	M
annotation	00:03:56.304	00:03:56.648	0.344	G
annotation	00:03:56.648	00:03:57.325	0.677	R
annotation	00:03:57.325	00:03:57.658	0.33299999999999996	G
annotation	00:03:57.658	00:03:57.991	0.33299999999999996	M
annotation	00:03:57.991	00:03:58.324	0.33299999999999996	G
annotation	00:03:58.324	00:03:58.644	0.32	R
annotation	00:03:58.644	00:03:58.964	0.32	S
annotation	00:03:58.964	00:03:59.292	0.32799999999999996	D
annotation	00:03:59.292	00:03:59.927	0.635	S
annotation	00:03:59.927	00:04:00.234	0.306	R
annotation	00:04:00.234	00:04:00.537	0.303	G
annotation	00:04:00.537	00:04:00.840	0.303	M
annotation	00:04:00.840	00:04:01.163	0.32299999999999995	D
annotation	00:04:01.163	00:04:01.769	0.606	S^
annotation	00:04:01.769	00:04:02.053	0.284	D
annotation	00:04:02.053	00:04:02.344	0.29100000000000004	M
annotation	00:04:02.344	00:04:02.635	0.29100000000000004	G
annotation	00:04:02.635	00:04:02.956	0.321	R
annotation	00:04:02.956	00:04:03.277	0.321	S
annotation	00:04:03.277	00:04:03.593	0.316	R
annotation	00:04:14.425	00:04:15.056	0.631	M
annotation	00:04:15.056	00:04:15.376	0.32	D
annotation	00:04:15.376	00:04:15.696	0.32	M
annotation	00:04:15.696	00:04:17.001	1.305	D
annotation	00:04:17.001	00:04:17.326	0.325	D
annotation	00:04:17.326	00:04:17.652	0.325	S^
annotation	00:04:17.652	00:04:17.970	0.318	D
annotation	00:04:17.970	00:04:18.288	0.318	M
annotation	00:04:18.288	00:04:18.631	0.34299999999999997	D
annotation	00:04:18.631	00:04:18.974	0.34299999999999997	D
annotation	00:04:18.974	00:04:19.613	0.638	S^
annotation	00:04:19.613	00:04:19.946	0.33299999999999996	D
annotation	00:04:19.946	00:04:20.279	0.33299999999999996	S^
annotation	00:04:20.279	00:04:20.597	0.319	D
annotation	00:04:20.597	00:04:20.916	0.319	D
annotation	00:04:20.916	00:04:21.634	0.718	M
annotation	00:04:21.634	00:04:21.960	0.326	G
annotation	00:04:21.960	00:04:22.286	0.326	M
annotation	00:04:22.286	00:04:22.618	0.332	G
annotation	00:04:22.618	00:04:22.950	0.332	R
annotation	00:04:22.950	00:04:23.272	0.322	S
annotation	00:04:23.272	00:04:23.594	0.322	R
annotation	00:04:23.594	00:04:23.945	0.35100000000000003	G
annotation	00:04:23.945	00:04:24.297	0.35100000000000003	S
annotation	00:04:24.297	00:04:24.615	0.318	R
annotation	00:04:24.615	00:04:24.933	0.318	G
annotation	00:04:24.933	00:04:25.286	0.353	D
annotation	00:04:25.286	00:04:25.639	0.353	S^
annotation	00:04:25.639	00:04:25.940	0.301	D
annotation	00:04:25.940	00:04:26.241	0.301	M
annotation	00:04:26.241	00:04:26.532	0.29100000000000004	G
annotation	00:04:26.532	00:04:26.823	0.29100000000000004	R
annotation	00:04:26.823	00:04:27.130	0.307	G
annotation	00:04:27.130	00:04:27.437	0.307	M
annotation	00:04:27.437	00:04:27.766	0.32899999999999996	D
annotation	00:04:27.766	00:04:28.094	0.32899999999999996	M
annotation	00:04:28.094	00:04:28.404	0.31	G
annotation	00:04:28.404	00:04:28.715	0.31	R
annotation	00:04:28.715	00:04:29.026	0.311	G
annotation	00:04:29.026	00:04:29.337	0.311	S
annotation	00:04:29.337	00:04:29.683	0.34600000000000003	R
annotation	00:04:29.683	00:04:30.030	0.34600000000000003	S
annotation	00:04:30.030	00:04:30.342	0.313	R
annotation	00:04:30.342	00:04:30.655	0.313	G
annotation	00:04:30.655	00:04:30.968	0.313	M
annotation	00:04:30.968	00:04:31.281	0.313	D
annotation	00:04:31.281	00:04:31.594	0.313	S^
annotation	00:04:31.594	00:04:31.907	0.313	R^
annotation	00:04:31.907	00:04:32.259	0.35200000000000004	G^
annotation	00:04:32.259	00:04:32.611	0.35200000000000004	R^
annotation	00:04:32.611	00:04:32.923	0.312	S^
annotation	00:04:32.923	00:04:33.236	0.312	D
annotation	00:04:33.236	00:04:33.546	0.311	M
annotation	00:04:33.546	00:04:33.857	0.311	G
annotation	00:04:33.857	00:04:34.172	0.315	R
annotation	00:04:34.172	00:04:34.486	0.315	S
annotation	00:04:34.486	00:04:34.793	0.307	R
annotation	00:04:34.793	00:04:35.100	0.307	G
annotation	00:04:46.201	00:04:46.514	0.313	D
annotation	00:04:46.514	00:04:46.827	0.313	M
annotation	00:04:46.827	00:04:48.129	1.3019999999999998	D
annotation	00:04:48.129	00:04:48.474	0.345	D
annotation	00:04:48.474	00:04:48.819	0.345	S^
annotation	00:04:48.819	00:04:49.138	0.319	D
annotation	00:04:49.138	00:04:49.457	0.319	M
annotation	00:04:49.457	00:04:49.796	0.33899999999999997	D
annotation	00:04:49.796	00:04:50.135	0.33899999999999997	D
annotation	00:04:50.135	00:04:50.733	0.598	S^
annotation	00:04:50.733	00:04:51.081	0.348	D
annotation	00:04:51.081	00:04:51.429	0.348	S^
annotation	00:04:51.429	00:04:51.752	0.32299999999999995	D
annotation	00:04:51.752	00:04:52.075	0.32299999999999995	D
annotation	00:04:52.075	00:04:52.782	0.7070000000000001	M
annotation	00:04:52.782	00:04:53.094	0.312	G
annotation	00:04:53.094	00:04:53.406	0.312	M
annotation	00:04:53.406	00:04:53.751	0.345	G
annotation	00:04:53.751	00:04:54.096	0.345	R
annotation	00:04:54.096	00:04:54.429	0.33299999999999996	S
annotation	00:04:54.429	00:04:54.762	0.33299999999999996	R
annotation	00:04:54.762	00:04:55.120	0.35700000000000004	G
annotation	00:04:55.120	00:04:55.477	0.35700000000000004	S
annotation	00:04:55.477	00:04:55.799	0.322	R
annotation	00:04:55.799	00:04:56.120	0.322	G
annotation	00:04:56.120	00:04:57.051	0.9309999999999999	S
annotation	00:04:57.051	00:04:57.671	0.62	S^
annotation	00:04:57.671	00:04:57.997	0.325	S^
annotation	00:04:57.997	00:04:58.293	0.29600000000000004	R^
annotation	00:04:58.293	00:04:58.589	0.29600000000000004	G^
annotation	00:04:58.589	00:04:58.928	0.34	S^
annotation	00:04:58.928	00:04:59.567	0.639	R^
annotation	00:04:59.567	00:04:59.867	0.3	R^
annotation	00:04:59.867	00:05:00.202	0.335	S^
annotation	00:05:00.202	00:05:00.538	0.335	D
annotation	00:05:00.538	00:05:00.831	0.293	M
annotation	00:05:00.831	00:05:01.124	0.293	D
annotation	00:05:01.124	00:05:02.133	1.0090000000000001	S^
annotation	00:05:02.133	00:05:02.451	0.317	S^
annotation	00:05:02.451	00:05:02.763	0.312	D
annotation	00:05:02.763	00:05:03.075	0.312	R^
annotation	00:05:03.075	00:05:03.405	0.33	S^
annotation	00:05:03.405	00:05:04.060	0.655	D
annotation	00:05:04.060	00:05:04.385	0.325	S^
annotation	00:05:04.385	00:05:04.727	0.342	D
annotation	00:05:04.727	00:05:05.393	0.6659999999999999	M
annotation	00:05:05.393	00:05:05.716	0.324	G
annotation	00:05:05.716	00:05:06.025	0.309	R
annotation	00:05:06.025	00:05:06.334	0.309	S
annotation	00:05:06.334	00:05:06.673	0.33899999999999997	R
annotation	00:05:06.673	00:05:07.012	0.33899999999999997	G
annotation	00:05:07.012	00:05:07.339	0.32799999999999996	M
annotation	00:05:07.339	00:05:08.016	0.6759999999999999	D
annotation	00:05:08.016	00:05:08.365	0.349	S^
annotation	00:05:08.365	00:05:08.673	0.309	R^
annotation	00:05:08.673	00:05:08.982	0.309	G^
annotation	00:05:08.982	00:05:09.328	0.34600000000000003	M^
annotation	00:05:09.328	00:05:10.005	0.677	R^
annotation	00:05:10.005	00:05:10.335	0.33	G^
annotation	00:05:10.335	00:05:10.675	0.34	R^
annotation	00:05:10.675	00:05:11.015	0.34	S^
annotation	00:05:11.015	00:05:11.339	0.324	D
annotation	00:05:11.339	00:05:11.663	0.324	S^
annotation	00:05:11.663	00:05:11.979	0.316	R^
annotation	00:05:11.979	00:05:12.628	0.649	S^
annotation	00:05:12.628	00:05:12.961	0.33299999999999996	D
annotation	00:05:12.961	00:05:13.289	0.32799999999999996	M
annotation	00:05:13.289	00:05:13.616	0.32799999999999996	D
annotation	00:05:13.616	00:05:13.947	0.331	S^
