Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.324	00:00:01.954	0.63	R
annotation	00:00:01.954	00:00:02.696	0.742	G
annotation	00:00:02.696	00:00:03.124	0.428	G
annotation	00:00:03.124	00:00:03.553	0.428	R
annotation	00:00:03.553	00:00:04.475	0.9229999999999999	S
annotation	00:00:04.475	00:00:04.900	0.425	S
annotation	00:00:04.900	00:00:05.326	0.425	R
annotation	00:00:05.326	00:00:05.735	0.41	S
annotation	00:00:05.735	00:00:06.145	0.41	S
annotation	00:00:06.145	00:00:06.583	0.43799999999999994	D
annotation	00:00:06.583	00:00:07.021	0.43799999999999994	M
annotation	00:00:07.021	00:00:07.991	0.9690000000000001	D
annotation	00:00:07.991	00:00:08.475	0.485	M
annotation	00:00:08.475	00:00:08.960	0.485	D
annotation	00:00:08.960	00:00:09.358	0.39799999999999996	S
annotation	00:00:09.358	00:00:10.213	0.855	D
annotation	00:00:10.213	00:00:10.671	0.457	S
annotation	00:00:10.671	00:00:11.079	0.409	D
annotation	00:00:11.079	00:00:11.488	0.409	S
annotation	00:00:11.488	00:00:11.851	0.363	R
annotation	00:00:11.851	00:00:12.616	0.765	G
annotation	00:00:12.616	00:00:13.018	0.402	M
annotation	00:00:13.018	00:00:13.451	0.433	G
annotation	00:00:13.451	00:00:13.885	0.433	G
annotation	00:00:13.885	00:00:14.298	0.414	R
annotation	00:00:14.298	00:00:14.712	0.414	S
annotation	00:00:14.712	00:00:15.082	0.37	R
annotation	00:00:15.082	00:00:15.452	0.37	G
annotation	00:00:15.452	00:00:15.854	0.402	M
annotation	00:00:15.854	00:00:16.675	0.82	G
annotation	00:00:16.675	00:00:17.092	0.418	M
annotation	00:00:17.092	00:00:17.489	0.396	R
annotation	00:00:17.489	00:00:17.885	0.396	G
annotation	00:00:17.885	00:00:18.298	0.413	S
annotation	00:00:18.298	00:00:19.124	0.826	R
annotation	00:00:19.124	00:00:19.537	0.414	D
annotation	00:00:19.537	00:00:19.977	0.44	S
annotation	00:00:19.977	00:00:20.417	0.44	R
annotation	00:00:20.417	00:00:20.834	0.41700000000000004	G
annotation	00:00:20.834	00:00:21.251	0.41700000000000004	M
annotation	00:00:21.251	00:00:21.607	0.35700000000000004	D
annotation	00:00:21.607	00:00:21.964	0.35700000000000004	M
annotation	00:00:21.964	00:00:22.358	0.39399999999999996	D
annotation	00:00:22.358	00:00:23.129	0.77	S^
annotation	00:00:23.129	00:00:23.505	0.376	S^
annotation	00:00:23.505	00:00:23.962	0.457	D
annotation	00:00:23.962	00:00:24.419	0.457	S^
annotation	00:00:24.419	00:00:24.816	0.397	D
annotation	00:00:24.816	00:00:25.612	0.7959999999999999	M
annotation	00:00:25.612	00:00:26.012	0.39899999999999997	G
annotation	00:00:26.012	00:00:26.446	0.434	M
annotation	00:00:26.446	00:00:26.880	0.434	G
annotation	00:00:26.880	00:00:27.347	0.467	R
annotation	00:00:27.347	00:00:27.813	0.467	S
annotation	00:00:27.813	00:00:28.180	0.366	S^
annotation	00:00:28.180	00:00:28.546	0.366	S^
annotation	00:00:28.546	00:00:28.962	0.41600000000000004	D
annotation	00:00:28.962	00:00:29.773	0.8109999999999999	D
annotation	00:00:29.773	00:00:30.168	0.395	M
annotation	00:00:30.168	00:00:30.575	0.40700000000000003	D
annotation	00:00:30.575	00:00:30.982	0.40700000000000003	D
annotation	00:00:30.982	00:00:31.369	0.387	M
annotation	00:00:31.369	00:00:32.171	0.802	G
annotation	00:00:32.171	00:00:32.586	0.415	R
annotation	00:00:32.586	00:00:33.023	0.43700000000000006	G
annotation	00:00:33.023	00:00:33.459	0.43700000000000006	M
annotation	00:00:33.459	00:00:33.853	0.39399999999999996	R
annotation	00:00:33.853	00:00:34.247	0.39399999999999996	G
annotation	00:00:34.247	00:00:34.658	0.41200000000000003	S
annotation	00:00:34.658	00:00:35.070	0.41200000000000003	R
annotation	00:00:35.070	00:00:35.497	0.42700000000000005	G
annotation	00:00:35.497	00:00:36.292	0.795	M
annotation	00:00:36.292	00:00:36.660	0.368	M
annotation	00:00:36.660	00:00:37.038	0.37799999999999995	D
annotation	00:00:37.038	00:00:37.416	0.37799999999999995	M
annotation	00:00:37.416	00:00:37.811	0.396	G
annotation	00:00:37.811	00:00:38.207	0.396	R
annotation	00:00:38.207	00:00:38.567	0.36	G
annotation	00:00:38.567	00:00:38.927	0.36	M
annotation	00:00:38.927	00:00:39.330	0.40299999999999997	D
annotation	00:00:39.330	00:00:39.734	0.40299999999999997	D
annotation	00:00:39.734	00:00:40.575	0.841	S^
annotation	00:00:40.575	00:00:40.974	0.39899999999999997	D
annotation	00:00:40.974	00:00:41.373	0.39899999999999997	S^
annotation	00:00:41.373	00:00:41.764	0.391	R^
annotation	00:00:41.764	00:00:42.550	0.7859999999999999	S^
annotation	00:00:42.550	00:00:42.945	0.395	R^
annotation	00:00:42.946	00:00:43.300	0.355	G
annotation	00:00:43.300	00:00:43.655	0.355	M^
annotation	00:00:43.656	00:00:44.113	0.457	R^
annotation	00:00:44.113	00:00:44.963	0.85	G^
annotation	00:00:44.963	00:00:45.356	0.39299999999999996	M
annotation	00:00:45.356	00:00:45.770	0.415	G^
annotation	00:00:45.770	00:00:46.185	0.415	G^
annotation	00:00:46.185	00:00:46.524	0.33899999999999997	R^
annotation	00:00:46.524	00:00:46.863	0.33899999999999997	S^
annotation	00:00:46.863	00:00:47.278	0.415	R^
annotation	00:00:47.278	00:00:47.693	0.415	G^
annotation	00:00:47.693	00:00:48.066	0.373	R^
annotation	00:00:48.066	00:00:48.438	0.373	S^
annotation	00:00:48.438	00:00:48.810	0.371	R^
annotation	00:00:48.810	00:00:49.181	0.371	D
annotation	00:00:49.181	00:00:49.549	0.368	R^
annotation	00:00:49.549	00:00:49.917	0.368	S^
annotation	00:00:49.917	00:00:50.286	0.37	S^
annotation	00:00:50.286	00:00:50.656	0.37	D
annotation	00:00:50.656	00:00:51.098	0.441	M
annotation	00:00:51.098	00:00:51.539	0.441	D
annotation	00:00:51.539	00:00:51.900	0.361	M
annotation	00:00:51.900	00:00:52.261	0.361	G
annotation	00:00:52.261	00:00:52.634	0.373	R
annotation	00:00:52.634	00:00:53.007	0.373	S
annotation	00:00:53.007	00:00:53.326	0.319	R
annotation	00:00:53.326	00:00:53.645	0.319	G
annotation	00:00:53.645	00:00:54.037	0.392	M
annotation	00:00:54.037	00:00:54.783	0.746	R
annotation	00:00:54.783	00:00:55.137	0.354	G
annotation	00:00:55.137	00:00:55.516	0.379	S
annotation	00:00:55.516	00:00:55.894	0.379	R
annotation	00:00:55.894	00:00:56.284	0.389	G
annotation	00:00:56.284	00:00:57.067	0.7829999999999999	S
annotation	00:00:57.067	00:00:57.461	0.39399999999999996	R
annotation	00:00:57.461	00:00:57.854	0.39299999999999996	S
annotation	00:00:57.854	00:00:58.248	0.39299999999999996	D
annotation	00:00:58.248	00:00:58.681	0.434	M
annotation	00:00:58.681	00:00:59.115	0.434	D
annotation	00:00:59.115	00:00:59.483	0.368	S
annotation	00:00:59.483	00:00:59.850	0.368	D
annotation	00:00:59.850	00:01:00.255	0.405	S
annotation	00:01:00.255	00:01:01.068	0.813	R
annotation	00:01:01.068	00:01:01.475	0.408	R
annotation	00:01:01.475	00:01:01.866	0.39	G
annotation	00:01:01.866	00:01:02.256	0.39	S
annotation	00:01:02.256	00:01:02.640	0.385	R
annotation	00:01:02.640	00:01:03.416	0.775	M
annotation	00:01:03.416	00:01:03.806	0.391	D
annotation	00:01:03.806	00:01:04.188	0.382	M
annotation	00:01:04.188	00:01:04.570	0.382	G
annotation	00:01:04.570	00:01:04.932	0.36200000000000004	R
annotation	00:01:04.932	00:01:05.294	0.36200000000000004	S
annotation	00:01:05.294	00:01:05.673	0.37799999999999995	R
annotation	00:01:05.673	00:01:06.051	0.37799999999999995	G
annotation	00:01:06.051	00:01:06.432	0.381	M
annotation	00:01:06.432	00:01:07.199	0.7659999999999999	G
annotation	00:01:07.199	00:01:07.584	0.385	M
annotation	00:01:07.584	00:01:07.950	0.366	D
annotation	00:01:07.950	00:01:08.316	0.366	M
annotation	00:01:08.316	00:01:08.763	0.447	D
annotation	00:01:08.763	00:01:09.574	0.8109999999999999	S^
annotation	00:01:09.574	00:01:09.939	0.364	R^
annotation	00:01:09.939	00:01:10.335	0.397	G^
annotation	00:01:10.335	00:01:10.732	0.397	S^
annotation	00:01:10.732	00:01:11.132	0.4	R^
annotation	00:01:11.132	00:01:11.531	0.4	G^
annotation	00:01:11.531	00:01:11.899	0.368	M^
annotation	00:01:11.899	00:01:12.267	0.368	G^
annotation	00:01:12.267	00:01:12.685	0.41700000000000004	R^
annotation	00:01:12.685	00:01:13.471	0.7859999999999999	G^
annotation	00:01:13.471	00:01:13.840	0.369	R^
annotation	00:01:13.840	00:01:14.219	0.379	S^
annotation	00:01:14.219	00:01:14.598	0.379	D
annotation	00:01:14.598	00:01:14.965	0.36700000000000005	R^
annotation	00:01:14.965	00:01:15.725	0.759	S^
annotation	00:01:15.725	00:01:16.117	0.392	D
annotation	00:01:16.117	00:01:16.512	0.395	M
annotation	00:01:16.512	00:01:16.907	0.395	G
annotation	00:01:16.907	00:01:17.294	0.387	R
annotation	00:01:17.294	00:01:17.681	0.387	S
annotation	00:01:17.681	00:01:18.050	0.369	R
annotation	00:02:04.352	00:02:05.048	0.696	M
annotation	00:02:05.048	00:02:05.435	0.387	D
annotation	00:02:05.435	00:02:05.823	0.387	M
annotation	00:02:05.823	00:02:07.341	1.5190000000000001	D
annotation	00:02:07.341	00:02:07.763	0.42200000000000004	D
annotation	00:02:07.763	00:02:08.185	0.42200000000000004	S^
annotation	00:02:08.185	00:02:08.538	0.353	D
annotation	00:02:08.538	00:02:08.891	0.353	M
annotation	00:02:08.891	00:02:09.291	0.401	D
annotation	00:02:09.291	00:02:09.692	0.401	D
annotation	00:02:09.692	00:02:10.396	0.7040000000000001	S^
annotation	00:02:10.396	00:02:10.767	0.371	D
annotation	00:02:10.767	00:02:11.138	0.371	S^
annotation	00:02:11.138	00:02:11.482	0.344	D
annotation	00:02:11.482	00:02:11.826	0.344	D
annotation	00:02:11.826	00:02:12.499	0.6729999999999999	M
annotation	00:02:12.499	00:02:12.847	0.348	G
annotation	00:02:12.847	00:02:13.196	0.348	M
annotation	00:02:13.196	00:02:13.561	0.365	G
annotation	00:02:13.561	00:02:13.926	0.365	R
