Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.410	00:00:02.138	0.7290000000000001	R
annotation	00:00:02.138	00:00:02.867	0.7290000000000001	G
annotation	00:00:02.867	00:00:03.231	0.364	G
annotation	00:00:03.231	00:00:03.596	0.364	R
annotation	00:00:03.596	00:00:04.324	0.7290000000000001	S
annotation	00:00:04.324	00:00:04.689	0.364	S
annotation	00:00:04.689	00:00:05.053	0.364	R
annotation	00:00:05.053	00:00:05.418	0.364	S
annotation	00:00:05.418	00:00:05.782	0.364	S
annotation	00:00:05.782	00:00:06.146	0.364	D
annotation	00:00:06.146	00:00:06.511	0.364	M
annotation	00:00:06.511	00:00:07.239	0.7290000000000001	D
annotation	00:00:07.239	00:00:07.640	0.4	M
annotation	00:00:07.640	00:00:08.040	0.4	D
annotation	00:00:08.040	00:00:08.440	0.4	S
annotation	00:00:24.401	00:00:24.764	0.363	R
annotation	00:00:24.764	00:00:25.126	0.363	G
annotation	00:00:25.126	00:00:25.489	0.363	M
annotation	00:00:25.489	00:00:26.215	0.726	G
annotation	00:00:26.215	00:00:26.578	0.363	M
annotation	00:00:26.578	00:00:26.940	0.363	R
annotation	00:00:26.940	00:00:27.303	0.363	G
annotation	00:00:27.303	00:00:27.666	0.363	S
annotation	00:00:27.666	00:00:28.392	0.726	R
annotation	00:00:28.392	00:00:28.755	0.363	D
annotation	00:00:28.755	00:00:29.117	0.363	S
annotation	00:00:29.117	00:00:29.480	0.363	R
annotation	00:00:29.480	00:00:29.843	0.363	G
annotation	00:00:29.843	00:00:30.206	0.363	M
annotation	00:00:30.206	00:00:30.577	0.371	D
annotation	00:00:30.577	00:00:30.948	0.371	M
annotation	00:00:30.948	00:00:31.319	0.371	D
annotation	00:00:31.319	00:00:32.061	0.742	S^
annotation	00:00:32.061	00:00:32.432	0.371	S^
annotation	00:00:32.432	00:00:32.803	0.371	D
annotation	00:00:32.803	00:00:33.174	0.371	S^
annotation	00:00:33.174	00:00:33.545	0.371	D
annotation	00:00:33.545	00:00:34.287	0.742	M
annotation	00:00:34.287	00:00:34.658	0.371	G
annotation	00:00:34.658	00:00:35.029	0.371	M
annotation	00:00:35.029	00:00:35.400	0.371	G
annotation	00:00:35.400	00:00:35.771	0.371	R
annotation	00:00:35.771	00:00:36.142	0.371	S
annotation	00:00:36.142	00:00:36.524	0.382	S^
annotation	00:00:36.524	00:00:36.907	0.382	S^
annotation	00:00:36.907	00:00:37.289	0.382	D
annotation	00:00:37.289	00:00:38.053	0.765	D
annotation	00:00:38.053	00:00:38.436	0.382	M
annotation	00:00:38.436	00:00:38.818	0.382	D
annotation	00:00:38.818	00:00:39.200	0.382	D
annotation	00:00:39.200	00:00:39.583	0.382	M
annotation	00:00:39.583	00:00:40.347	0.765	G
annotation	00:00:40.347	00:00:40.729	0.382	R
annotation	00:00:40.729	00:00:41.112	0.382	G
annotation	00:00:41.112	00:00:41.494	0.382	M
annotation	00:00:41.494	00:00:41.876	0.382	R
annotation	00:00:41.876	00:00:42.259	0.382	G
annotation	00:00:42.259	00:00:42.634	0.375	S
annotation	00:00:42.634	00:00:43.009	0.375	R
annotation	00:00:43.009	00:00:43.384	0.375	G
annotation	00:00:43.384	00:00:44.135	0.75	M
annotation	00:00:44.135	00:00:44.510	0.375	M
annotation	00:00:44.510	00:00:44.885	0.375	D
annotation	00:00:44.885	00:00:45.260	0.375	M
annotation	00:00:45.260	00:00:45.636	0.375	G
annotation	00:00:45.636	00:00:46.011	0.375	R
annotation	00:00:46.011	00:00:46.386	0.375	G
annotation	00:00:46.386	00:00:46.761	0.375	M
annotation	00:00:46.761	00:00:47.136	0.375	D
annotation	00:00:47.136	00:00:47.512	0.375	D
annotation	00:00:47.512	00:00:48.262	0.75	S^
annotation	00:00:48.262	00:00:48.631	0.369	D
annotation	00:00:48.631	00:00:49.000	0.369	S^
annotation	00:00:49.000	00:00:49.370	0.369	R^
annotation	00:00:49.370	00:00:50.108	0.738	S^
annotation	00:00:50.108	00:00:50.477	0.369	R^
annotation	00:00:50.477	00:00:50.846	0.369	G
annotation	00:00:50.846	00:00:51.215	0.369	M^
annotation	00:00:51.215	00:00:51.585	0.369	R^
annotation	00:00:51.585	00:00:52.323	0.738	G^
annotation	00:00:52.323	00:00:52.692	0.369	M
annotation	00:00:52.692	00:00:53.061	0.369	G^
annotation	00:00:53.061	00:00:53.430	0.369	G^
annotation	00:00:53.430	00:00:53.799	0.369	R^
annotation	00:00:53.799	00:00:54.169	0.369	S^
annotation	00:00:54.169	00:00:54.533	0.364	R^
annotation	00:00:54.533	00:00:54.897	0.364	G^
annotation	00:00:54.897	00:00:55.261	0.364	R^
annotation	00:00:55.261	00:00:55.625	0.364	S^
annotation	00:00:55.625	00:00:55.989	0.364	R^
annotation	00:00:55.989	00:00:56.353	0.364	D
annotation	00:00:56.353	00:00:56.717	0.364	R^
