Tier	Begin time	End time	Duration	Annotation
annotation	00:00:17.552	00:00:17.918	0.365	D
annotation	00:00:17.918	00:00:18.283	0.365	P
annotation	00:00:18.283	00:00:19.014	0.731	M
annotation	00:00:19.014	00:00:19.380	0.366	G
annotation	00:00:19.380	00:00:19.745	0.366	R
annotation	00:00:19.745	00:00:20.476	0.731	S
annotation	00:00:20.476	00:00:20.842	0.365	R
annotation	00:00:20.842	00:00:21.207	0.365	N
annotation	00:00:21.207	00:00:21.573	0.366	D
annotation	00:00:21.573	00:00:21.938	0.366	D
annotation	00:00:21.938	00:00:22.304	0.366	P
annotation	00:00:22.304	00:00:22.669	0.366	P
annotation	00:00:22.669	00:00:23.551	0.8809999999999999	S
annotation	00:00:23.551	00:00:24.281	0.731	S
annotation	00:00:24.282	00:00:24.647	0.366	N
annotation	00:00:24.647	00:00:25.013	0.366	S
annotation	00:00:25.013	00:00:25.378	0.366	G
annotation	00:00:25.378	00:00:25.744	0.366	R
annotation	00:00:25.744	00:00:26.475	0.731	G
annotation	00:00:26.475	00:00:27.206	0.731	M
annotation	00:00:27.206	00:00:27.937	0.731	M
annotation	00:00:27.937	00:00:28.302	0.366	G
annotation	00:00:28.302	00:00:28.668	0.366	R
annotation	00:00:28.668	00:00:29.033	0.365	G
annotation	00:00:29.033	00:00:29.399	0.365	M
annotation	00:00:41.318	00:00:42.049	0.731	P
annotation	00:00:42.049	00:00:42.415	0.366	M
annotation	00:00:42.415	00:00:43.146	0.731	D
annotation	00:00:43.146	00:00:43.511	0.366	P
annotation	00:00:43.511	00:00:43.877	0.366	S^
annotation	00:00:43.877	00:00:44.242	0.366	N
annotation	00:00:44.242	00:00:44.608	0.365	D
annotation	00:00:44.608	00:00:44.973	0.365	P
annotation	00:00:44.973	00:00:45.339	0.366	S^
annotation	00:00:45.339	00:00:45.704	0.366	N
annotation	00:00:45.704	00:00:46.070	0.366	D
annotation	00:00:46.070	00:00:46.435	0.366	R^
annotation	00:00:46.435	00:00:47.250	0.815	S^
annotation	00:00:47.250	00:00:47.616	0.365	P
annotation	00:00:47.616	00:00:47.981	0.365	D
annotation	00:00:47.981	00:00:48.347	0.366	P
annotation	00:00:48.347	00:00:49.078	0.731	N
annotation	00:00:49.078	00:00:49.809	0.731	D
annotation	00:00:49.809	00:00:50.174	0.366	P
annotation	00:00:50.174	00:00:50.905	0.731	M
annotation	00:00:50.905	00:00:51.636	0.731	G
annotation	00:00:51.636	00:00:52.002	0.366	R
annotation	00:00:52.002	00:00:52.368	0.366	G
annotation	00:00:52.368	00:00:52.733	0.365	M
annotation	00:00:52.733	00:00:53.098	0.365	P
annotation	00:01:07.401	00:01:07.766	0.366	D
annotation	00:01:07.766	00:01:08.132	0.365	M
annotation	00:01:08.132	00:01:08.497	0.365	P
annotation	00:01:08.497	00:01:08.863	0.366	D
annotation	00:01:08.863	00:01:09.228	0.366	N
annotation	00:01:09.228	00:01:09.594	0.366	D
annotation	00:01:09.594	00:01:09.959	0.366	P
annotation	00:01:09.959	00:01:10.722	0.762	M
annotation	00:01:10.722	00:01:11.078	0.35600000000000004	G
annotation	00:01:14.286	00:01:14.643	0.35600000000000004	P
annotation	00:01:14.643	00:01:14.999	0.35600000000000004	D
annotation	00:01:14.999	00:01:16.425	1.426	M
annotation	00:01:16.425	00:01:16.785	0.36	P
annotation	00:01:16.785	00:01:17.506	0.72	D
annotation	00:01:17.506	00:01:17.866	0.36	D
annotation	00:01:17.866	00:01:18.226	0.36	P
annotation	00:01:18.226	00:01:18.586	0.36	M
annotation	00:01:18.586	00:01:18.946	0.36	M
annotation	00:01:18.946	00:01:19.667	0.72	P
annotation	00:01:19.667	00:01:20.027	0.36	P
annotation	00:01:20.027	00:01:20.387	0.36	M
annotation	00:01:20.387	00:01:20.747	0.36	G
annotation	00:01:20.747	00:01:21.108	0.36	R
annotation	00:01:21.108	00:01:21.468	0.36	G
annotation	00:01:21.468	00:01:21.828	0.36	M
annotation	00:01:21.828	00:01:22.188	0.36	P
annotation	00:01:22.188	00:01:22.554	0.365	M
annotation	00:01:22.554	00:01:23.285	0.731	D
annotation	00:01:23.285	00:01:23.650	0.366	P
annotation	00:01:23.650	00:01:24.016	0.366	S^
annotation	00:01:24.016	00:01:24.381	0.366	N
annotation	00:01:24.381	00:01:24.747	0.366	D
annotation	00:01:24.747	00:01:25.112	0.366	P
annotation	00:01:25.112	00:01:25.478	0.365	S^
annotation	00:01:25.478	00:01:25.843	0.365	N
annotation	00:01:25.843	00:01:26.209	0.366	D
annotation	00:01:26.209	00:01:26.574	0.366	R^
annotation	00:01:26.574	00:01:28.130	1.556	S^
annotation	00:01:28.130	00:01:28.496	0.365	P
annotation	00:01:28.496	00:01:28.861	0.365	D
annotation	00:01:33.247	00:01:33.720	0.47200000000000003	P^
annotation	00:01:33.720	00:01:34.192	0.47200000000000003	M^
annotation	00:01:34.192	00:01:35.284	1.092	R^
annotation	00:01:35.284	00:01:35.649	0.364	R^
annotation	00:01:35.649	00:01:36.013	0.364	S^
annotation	00:01:36.013	00:01:36.377	0.364	N
annotation	00:01:36.377	00:01:36.741	0.364	D
annotation	00:01:36.741	00:01:37.105	0.364	D
annotation	00:01:37.105	00:01:37.469	0.364	P
annotation	00:01:37.469	00:01:38.198	0.728	S^
annotation	00:01:38.198	00:01:38.562	0.364	N
annotation	00:01:38.562	00:01:38.926	0.364	D
annotation	00:01:38.926	00:01:39.290	0.364	N
annotation	00:01:39.290	00:01:39.654	0.364	S^
annotation	00:01:39.654	00:01:40.019	0.364	R
annotation	00:01:40.019	00:01:40.369	0.35	R^
annotation	00:01:40.369	00:01:41.069	0.7	S^
annotation	00:01:41.069	00:01:41.420	0.35	N
annotation	00:01:41.420	00:01:41.770	0.35	D
annotation	00:01:41.770	00:01:42.120	0.35	P
annotation	00:01:42.120	00:01:42.470	0.35	D
annotation	00:01:42.470	00:01:43.171	0.7	M
annotation	00:01:43.171	00:01:43.521	0.35	G
annotation	00:01:43.521	00:01:43.871	0.35	M
annotation	00:01:43.871	00:01:44.222	0.35	R
annotation	00:01:44.222	00:01:44.572	0.35	G
annotation	00:01:44.572	00:01:44.922	0.35	M
annotation	00:01:44.922	00:01:45.272	0.35	P
annotation	00:01:45.272	00:01:45.623	0.35	D
annotation	00:01:45.623	00:01:45.987	0.364	P
annotation	00:01:45.987	00:01:46.714	0.728	S^
annotation	00:01:46.714	00:01:47.078	0.364	P
annotation	00:01:47.078	00:01:47.442	0.364	D
annotation	00:01:47.442	00:01:47.806	0.364	P
annotation	00:01:47.806	00:01:48.533	0.728	N
annotation	00:01:48.533	00:01:48.897	0.364	D
annotation	00:01:48.897	00:01:49.261	0.364	P
annotation	00:01:49.261	00:01:49.625	0.364	M
annotation	00:01:49.625	00:01:49.989	0.364	G
annotation	00:01:49.989	00:01:50.352	0.364	R
annotation	00:01:50.352	00:01:50.716	0.364	G
annotation	00:01:50.716	00:01:51.080	0.364	M
annotation	00:01:51.080	00:01:51.444	0.364	P
annotation	00:01:51.444	00:01:52.172	0.728	D
annotation	00:01:52.172	00:01:52.536	0.364	P
annotation	00:01:52.536	00:01:53.264	0.728	M
annotation	00:01:53.264	00:01:53.628	0.364	D
annotation	00:01:53.628	00:01:53.992	0.364	P
annotation	00:01:53.992	00:01:54.356	0.364	M
annotation	00:01:54.356	00:01:54.720	0.364	G
annotation	00:01:54.720	00:01:55.447	0.728	R
annotation	00:01:55.447	00:01:56.175	0.728	G
annotation	00:01:56.175	00:01:56.539	0.364	M
annotation	00:01:56.539	00:01:56.903	0.364	P
annotation	00:01:56.903	00:01:57.267	0.364	D
annotation	00:01:57.267	00:01:57.612	0.345	M
annotation	00:01:57.612	00:01:58.302	0.69	G
annotation	00:01:58.302	00:01:58.647	0.345	R
annotation	00:01:58.647	00:01:58.992	0.345	S
annotation	00:01:58.992	00:01:59.337	0.345	N
annotation	00:01:59.337	00:01:59.682	0.345	R
annotation	00:01:59.682	00:02:00.372	0.69	S
annotation	00:02:00.372	00:02:00.717	0.345	R
annotation	00:02:00.717	00:02:01.062	0.345	N
annotation	00:02:01.062	00:02:01.407	0.345	D
annotation	00:02:01.407	00:02:01.752	0.345	P
annotation	00:02:01.752	00:02:02.097	0.345	D
annotation	00:02:02.097	00:02:02.442	0.345	P
annotation	00:02:02.442	00:02:02.787	0.345	S
annotation	00:02:02.787	00:02:03.147	0.36	N
annotation	00:02:03.147	00:02:03.868	0.72	R
annotation	00:02:03.868	00:02:04.228	0.36	S
