Tier	Begin time	End time	Duration	Annotation
annotation	00:00:02.510	00:00:02.981	0.47100000000000003	D
annotation	00:00:02.981	00:00:03.452	0.47100000000000003	P
annotation	00:00:03.452	00:00:04.395	0.9420000000000001	M
annotation	00:00:04.395	00:00:04.866	0.47100000000000003	G
annotation	00:00:04.866	00:00:05.337	0.47100000000000003	R
annotation	00:00:05.337	00:00:06.280	0.9420000000000001	S
annotation	00:00:06.280	00:00:06.751	0.47100000000000003	R
annotation	00:00:06.751	00:00:07.222	0.47100000000000003	N
annotation	00:00:07.222	00:00:07.693	0.47100000000000003	D
annotation	00:00:07.693	00:00:08.165	0.47100000000000003	D
annotation	00:00:08.165	00:00:08.636	0.47100000000000003	P
annotation	00:00:08.636	00:00:09.107	0.47100000000000003	P
annotation	00:00:09.107	00:00:10.050	0.9420000000000001	S
annotation	00:00:10.050	00:00:11.103	1.053	S
annotation	00:00:11.103	00:00:11.629	0.527	N
annotation	00:00:11.629	00:00:12.156	0.527	S
annotation	00:00:12.156	00:00:12.682	0.527	G
annotation	00:00:12.682	00:00:13.209	0.527	R
annotation	00:00:13.209	00:00:14.262	1.053	G
annotation	00:00:32.383	00:00:33.360	0.977	P
annotation	00:00:33.360	00:00:33.848	0.489	M
annotation	00:00:33.848	00:00:34.826	0.977	D
annotation	00:00:34.826	00:00:35.314	0.489	P
annotation	00:00:35.314	00:00:35.803	0.489	S^
annotation	00:00:35.803	00:00:36.292	0.489	N
annotation	00:00:36.292	00:00:36.780	0.489	D
annotation	00:00:36.780	00:00:37.269	0.489	P
annotation	00:00:37.269	00:00:37.757	0.489	S^
annotation	00:00:37.757	00:00:38.246	0.489	N
annotation	00:00:38.246	00:00:38.735	0.489	D
annotation	00:00:38.735	00:00:39.223	0.489	R^
annotation	00:00:39.223	00:00:40.200	0.977	S^
annotation	00:00:40.200	00:00:40.727	0.527	P
annotation	00:00:40.727	00:00:41.254	0.527	D
annotation	00:00:41.254	00:00:41.780	0.527	P
annotation	00:01:02.260	00:01:03.198	0.938	S
annotation	00:01:03.198	00:01:03.666	0.469	D
annotation	00:01:03.666	00:01:04.135	0.469	D
annotation	00:01:04.135	00:01:04.604	0.469	P
annotation	00:01:04.604	00:01:05.073	0.469	N
annotation	00:01:05.073	00:01:05.542	0.469	N
annotation	00:01:05.542	00:01:06.011	0.469	D
annotation	00:01:06.011	00:01:06.480	0.469	M
annotation	00:01:06.480	00:01:06.948	0.469	P
annotation	00:01:06.948	00:01:07.417	0.469	D
annotation	00:01:07.417	00:01:07.886	0.469	N
annotation	00:01:07.886	00:01:08.355	0.469	D
annotation	00:01:08.355	00:01:08.824	0.469	P
annotation	00:01:08.824	00:01:09.762	0.938	M
annotation	00:01:09.762	00:01:10.288	0.527	G
annotation	00:01:10.288	00:01:10.815	0.527	R
annotation	00:01:10.815	00:01:11.341	0.527	S
annotation	00:01:11.341	00:01:11.868	0.527	M
annotation	00:01:11.868	00:01:12.394	0.527	G
annotation	00:01:12.394	00:01:12.921	0.527	M
annotation	00:01:12.921	00:01:13.448	0.527	R
annotation	00:01:13.448	00:01:13.974	0.527	G
annotation	00:01:13.974	00:01:14.501	0.527	M
annotation	00:01:14.501	00:01:15.027	0.527	P
annotation	00:01:15.027	00:01:15.554	0.527	P
annotation	00:01:15.554	00:01:16.080	0.527	D
annotation	00:01:16.080	00:01:18.186	2.106	M
annotation	00:01:33.357	00:01:33.857	0.5	P
annotation	00:01:33.857	00:01:34.858	1.001	D
annotation	00:01:34.858	00:01:35.358	0.5	D
annotation	00:01:35.358	00:01:35.859	0.5	P
annotation	00:01:35.859	00:01:36.359	0.5	M
annotation	00:01:36.359	00:01:36.859	0.5	M
annotation	00:01:36.859	00:01:37.860	1.001	P
annotation	00:01:37.860	00:01:38.361	0.5	P
annotation	00:01:38.361	00:01:38.861	0.5	M
annotation	00:01:38.861	00:01:39.361	0.5	G
annotation	00:01:39.361	00:01:39.862	0.5	R
annotation	00:01:39.862	00:01:40.362	0.5	G
annotation	00:01:40.362	00:01:40.863	0.5	M
annotation	00:01:40.863	00:01:41.363	0.5	P
annotation	00:01:41.363	00:01:41.890	0.527	M
annotation	00:01:41.890	00:01:42.943	1.053	D
annotation	00:01:42.943	00:01:43.469	0.527	P
annotation	00:01:43.469	00:01:43.996	0.527	S^
annotation	00:01:43.996	00:01:44.522	0.527	N
annotation	00:01:44.522	00:01:45.049	0.527	D
annotation	00:01:45.049	00:01:45.576	0.527	P
annotation	00:01:45.576	00:01:46.102	0.527	S^
annotation	00:01:46.102	00:01:46.629	0.527	N
annotation	00:01:46.629	00:01:47.155	0.527	D
annotation	00:01:47.155	00:01:47.682	0.527	R^
annotation	00:01:47.682	00:01:49.788	2.106	S^
annotation	00:02:04.982	00:02:05.459	0.47700000000000004	P
annotation	00:02:05.459	00:02:05.936	0.47700000000000004	D
annotation	00:02:05.936	00:02:06.413	0.47700000000000004	P
annotation	00:02:06.413	00:02:06.890	0.47700000000000004	S^
annotation	00:02:06.890	00:02:07.367	0.47700000000000004	N
annotation	00:02:07.367	00:02:07.844	0.47700000000000004	S^
annotation	00:02:07.844	00:02:08.321	0.47700000000000004	G^
annotation	00:02:08.321	00:02:08.798	0.47700000000000004	R^
annotation	00:02:08.798	00:02:09.275	0.47700000000000004	G^
annotation	00:02:09.275	00:02:09.752	0.47700000000000004	M^
annotation	00:02:09.752	00:02:10.229	0.47700000000000004	G^
annotation	00:02:10.229	00:02:10.706	0.47700000000000004	M^
annotation	00:02:10.706	00:02:11.660	0.9540000000000001	R^
annotation	00:02:11.660	00:02:12.137	0.47700000000000004	P^
annotation	00:02:12.137	00:02:12.613	0.47700000000000004	M^
annotation	00:02:12.614	00:02:14.133	1.52	R^
