Tier	Begin time	End time	Duration	Annotation
annotation	00:00:03.435	00:00:03.801	0.366	S
annotation	00:00:03.801	00:00:04.633	0.8320000000000001	S
annotation	00:00:04.633	00:00:05.099	0.466	S
annotation	00:00:05.099	00:00:05.564	0.465	N
annotation	00:00:05.564	00:00:06.029	0.465	D
annotation	00:00:06.029	00:00:06.479	0.45	R
annotation	00:00:06.479	00:00:06.930	0.45	S
annotation	00:00:06.930	00:00:07.414	0.484	N
annotation	00:00:07.414	00:00:07.898	0.484	N
annotation	00:00:07.898	00:00:08.398	0.5	D
annotation	00:00:08.398	00:00:08.898	0.5	D
annotation	00:00:08.898	00:00:09.366	0.46799999999999997	P
annotation	00:00:09.366	00:00:09.834	0.46799999999999997	M
annotation	00:00:09.834	00:00:10.361	0.526	G
annotation	00:00:10.361	00:00:10.887	0.526	M
annotation	00:00:10.887	00:00:11.353	0.466	P
annotation	00:00:11.353	00:00:11.819	0.466	D
annotation	00:00:11.819	00:00:12.321	0.502	N
annotation	00:00:12.321	00:00:13.315	0.9940000000000001	D
annotation	00:00:13.315	00:00:13.806	0.491	R
annotation	00:00:13.806	00:00:14.293	0.486	S
annotation	00:00:14.293	00:00:14.779	0.486	N
annotation	00:00:14.779	00:00:15.251	0.47200000000000003	D
annotation	00:00:15.251	00:00:15.724	0.47200000000000003	P
annotation	00:00:15.724	00:00:16.192	0.46799999999999997	M
annotation	00:00:16.192	00:00:16.660	0.46799999999999997	G
annotation	00:00:16.660	00:00:17.101	0.441	M
annotation	00:00:17.101	00:00:17.543	0.441	P
annotation	00:00:17.543	00:00:18.005	0.46299999999999997	D
annotation	00:00:18.005	00:00:18.468	0.46299999999999997	N
annotation	00:00:18.468	00:00:18.943	0.47600000000000003	S
annotation	00:00:18.943	00:00:19.419	0.47600000000000003	R
annotation	00:00:19.419	00:00:19.936	0.518	G
annotation	00:00:19.936	00:00:20.454	0.518	R
annotation	00:00:20.454	00:00:20.955	0.501	S
annotation	00:00:20.955	00:00:21.455	0.501	N
annotation	00:00:21.455	00:00:21.866	0.41100000000000003	S
annotation	00:00:21.866	00:00:22.277	0.41100000000000003	R
annotation	00:00:22.277	00:00:22.772	0.495	S
annotation	00:00:22.772	00:00:23.266	0.495	N
annotation	00:00:23.266	00:00:23.725	0.45799999999999996	R
annotation	00:00:23.725	00:00:24.183	0.45799999999999996	S
annotation	00:00:24.183	00:00:24.655	0.47200000000000003	N
annotation	00:00:24.655	00:00:25.127	0.47200000000000003	D
annotation	00:00:25.127	00:00:25.624	0.49700000000000005	N
annotation	00:00:25.624	00:00:26.120	0.49700000000000005	D
annotation	00:00:26.120	00:00:29.037	2.917	N
annotation	00:00:29.037	00:00:29.494	0.457	S
annotation	00:00:29.494	00:00:29.951	0.457	N
annotation	00:00:29.951	00:00:30.390	0.43799999999999994	D
annotation	00:00:30.390	00:00:30.828	0.43799999999999994	P
annotation	00:00:30.828	00:00:31.302	0.475	M
annotation	00:00:31.302	00:00:31.777	0.475	G
annotation	00:00:31.777	00:00:32.248	0.47100000000000003	M
annotation	00:00:32.248	00:00:32.719	0.47100000000000003	P
annotation	00:00:32.719	00:00:33.166	0.447	D
annotation	00:00:33.166	00:00:33.613	0.447	N
annotation	00:00:33.613	00:00:34.565	0.9520000000000001	P
annotation	00:00:34.565	00:00:35.050	0.485	M
annotation	00:00:35.050	00:00:35.535	0.485	G
annotation	00:00:35.535	00:00:36.008	0.473	N
annotation	00:00:36.008	00:00:37.009	1.001	D
annotation	00:00:37.009	00:00:37.537	0.527	G
annotation	00:00:37.537	00:00:38.012	0.475	D
annotation	00:00:38.012	00:00:38.950	0.937	P
annotation	00:00:38.950	00:00:39.411	0.462	M
annotation	00:00:39.411	00:00:39.892	0.48	G
annotation	00:00:39.892	00:00:40.372	0.48	R
annotation	00:00:40.372	00:00:40.867	0.495	S
annotation	00:00:40.867	00:00:41.362	0.495	N
annotation	00:00:41.362	00:00:41.873	0.511	S
annotation	00:00:41.873	00:00:42.385	0.511	R
annotation	00:00:42.385	00:00:42.916	0.531	G
annotation	00:00:42.916	00:00:44.392	1.476	M
annotation	00:00:44.392	00:00:44.884	0.49200000000000005	G
annotation	00:00:44.884	00:00:45.377	0.49200000000000005	M
annotation	00:00:45.377	00:00:45.880	0.504	P
annotation	00:00:45.880	00:00:46.839	0.9590000000000001	G
annotation	00:00:46.839	00:00:47.294	0.455	M
annotation	00:00:47.294	00:00:47.750	0.457	N
annotation	00:00:47.750	00:00:48.207	0.457	D
annotation	00:00:48.207	00:00:48.675	0.46799999999999997	N
annotation	00:00:48.675	00:00:49.143	0.46799999999999997	P
annotation	00:00:49.143	00:00:49.599	0.456	D
annotation	00:00:49.599	00:00:50.055	0.456	N
annotation	00:00:50.055	00:00:50.587	0.532	S
annotation	00:00:50.587	00:00:51.570	0.983	R
annotation	00:00:51.570	00:00:52.021	0.451	S
annotation	00:00:52.021	00:00:52.499	0.479	R
annotation	00:00:52.499	00:00:52.978	0.479	G
annotation	00:00:52.978	00:00:53.500	0.522	S
annotation	00:00:53.500	00:00:54.023	0.522	R
annotation	00:00:54.023	00:00:54.554	0.532	G
annotation	00:00:54.554	00:00:55.086	0.532	R
annotation	00:00:55.086	00:00:55.556	0.47100000000000003	S
annotation	00:00:55.556	00:00:56.027	0.47100000000000003	N
annotation	00:00:56.027	00:00:56.518	0.491	D
annotation	00:00:56.518	00:00:57.009	0.491	N
annotation	00:00:57.009	00:00:57.495	0.486	D
annotation	00:00:57.495	00:00:57.981	0.486	G
annotation	00:00:57.981	00:00:58.424	0.44299999999999995	R
annotation	00:00:58.424	00:00:58.866	0.44299999999999995	S
annotation	00:00:58.866	00:00:59.336	0.47	N
annotation	00:00:59.336	00:00:59.807	0.47	D
annotation	00:00:59.807	00:01:00.260	0.45299999999999996	P
annotation	00:01:00.260	00:01:00.713	0.45299999999999996	N
annotation	00:01:00.713	00:01:01.178	0.465	D
annotation	00:01:01.178	00:01:01.643	0.465	P
annotation	00:01:01.643	00:01:02.128	0.486	M
annotation	00:01:02.128	00:01:02.614	0.486	G
annotation	00:01:02.614	00:01:03.080	0.466	M
annotation	00:01:03.080	00:01:03.546	0.466	P
annotation	00:01:03.547	00:01:04.032	0.485	D
annotation	00:01:04.032	00:01:04.517	0.485	N
annotation	00:01:04.517	00:01:04.966	0.44799999999999995	S
annotation	00:01:04.966	00:01:05.899	0.934	R
annotation	00:01:05.899	00:01:06.385	0.485	N
annotation	00:01:06.385	00:01:06.875	0.49	S
annotation	00:01:06.875	00:01:07.364	0.49	N
