Tier	Begin time	End time	Duration	Annotation
annotation	00:00:23.206	00:00:23.940	0.735	P
annotation	00:00:23.940	00:00:24.716	0.7759999999999999	M
annotation	00:00:24.716	00:00:25.400	0.684	G
annotation	00:00:25.400	00:00:26.072	0.6709999999999999	G
annotation	00:00:26.072	00:00:26.751	0.679	R
annotation	00:00:26.751	00:00:27.054	0.303	G
annotation	00:00:27.054	00:00:27.357	0.303	R
annotation	00:00:27.357	00:00:28.792	1.435	S
annotation	00:00:28.792	00:00:29.114	0.322	N_
annotation	00:00:29.114	00:00:29.436	0.322	S
annotation	00:00:29.436	00:00:29.808	0.373	R
annotation	00:00:29.808	00:00:30.181	0.373	G
annotation	00:00:30.181	00:00:30.538	0.35700000000000004	R
annotation	00:00:30.538	00:00:30.895	0.35700000000000004	S
annotation	00:00:30.895	00:00:31.258	0.363	N
annotation	00:00:31.258	00:00:31.621	0.363	S
annotation	00:00:31.621	00:00:31.974	0.353	D
annotation	00:00:31.974	00:00:32.327	0.353	P
annotation	00:00:32.327	00:00:32.711	0.384	M
annotation	00:00:32.711	00:00:33.095	0.384	D
annotation	00:00:33.095	00:00:33.472	0.377	D
annotation	00:00:33.472	00:00:33.849	0.377	N
annotation	00:00:45.378	00:00:45.706	0.327	P
annotation	00:00:45.706	00:00:46.033	0.327	M
annotation	00:00:46.033	00:00:46.362	0.32899999999999996	G
annotation	00:00:46.362	00:00:46.691	0.32899999999999996	M
annotation	00:00:46.691	00:00:47.028	0.336	R
annotation	00:00:47.028	00:00:47.364	0.336	G
annotation	00:00:47.364	00:00:47.666	0.302	R
annotation	00:00:47.666	00:00:48.287	0.621	S
annotation	00:00:48.287	00:00:48.606	0.319	R
annotation	00:00:48.606	00:00:48.907	0.301	G
annotation	00:00:48.907	00:00:49.208	0.301	M
annotation	00:00:49.208	00:00:49.534	0.326	P
annotation	00:00:49.534	00:00:49.859	0.326	M
annotation	00:00:49.859	00:00:50.191	0.332	D
annotation	00:00:50.191	00:00:50.523	0.332	D
annotation	00:00:50.523	00:00:50.813	0.29	N
annotation	00:00:50.813	00:00:51.103	0.29	N
annotation	00:00:51.103	00:00:51.432	0.33	S
annotation	00:01:07.250	00:01:07.554	0.303	D
annotation	00:01:07.554	00:01:07.857	0.303	N
annotation	00:01:07.857	00:01:08.163	0.306	D
annotation	00:01:08.163	00:01:08.469	0.306	D
annotation	00:01:08.469	00:01:08.781	0.312	P
annotation	00:01:08.781	00:01:09.093	0.312	P
annotation	00:01:09.094	00:01:09.430	0.336	D
annotation	00:01:09.430	00:01:09.766	0.336	P
annotation	00:01:28.839	00:01:29.192	0.353	D
annotation	00:01:29.192	00:01:29.546	0.353	N
annotation	00:01:29.546	00:01:29.893	0.34700000000000003	S
annotation	00:01:29.893	00:01:30.593	0.701	R
annotation	00:01:30.593	00:01:30.947	0.354	R
annotation	00:01:30.947	00:01:31.337	0.391	N
annotation	00:01:31.337	00:01:31.728	0.391	S
annotation	00:01:31.728	00:01:32.078	0.35	R
annotation	00:01:32.078	00:01:32.766	0.688	G
annotation	00:01:32.766	00:01:33.104	0.33799999999999997	M
annotation	00:01:33.104	00:01:33.406	0.302	R
annotation	00:01:33.406	00:01:33.708	0.302	G
annotation	00:01:33.708	00:01:34.020	0.312	R
annotation	00:01:34.020	00:01:34.332	0.312	S
annotation	00:01:34.332	00:01:34.646	0.314	R
annotation	00:01:34.646	00:01:35.340	0.693	N
annotation	00:01:35.340	00:01:35.719	0.379	S
annotation	00:01:35.719	00:01:36.413	0.6940000000000001	D
annotation	00:01:36.413	00:01:36.773	0.36	N
annotation	00:01:36.773	00:01:37.134	0.36	D
annotation	00:02:33.367	00:02:34.017	0.65	M
annotation	00:02:34.017	00:02:34.367	0.35	P
annotation	00:02:34.367	00:02:34.717	0.35	M
annotation	00:02:34.717	00:02:35.066	0.349	G
annotation	00:02:35.066	00:02:35.415	0.349	G
annotation	00:02:35.415	00:02:35.746	0.33	R
annotation	00:02:35.746	00:02:35.911	0.165	G
annotation	00:02:35.911	00:02:36.076	0.165	R
annotation	00:03:39.401	00:03:41.253	1.851	P
annotation	00:03:41.253	00:03:42.596	1.3430000000000002	M
annotation	00:03:42.596	00:03:43.198	0.602	D
annotation	00:03:43.198	00:03:43.854	0.657	P
annotation	00:03:43.854	00:03:44.491	0.636	M
annotation	00:03:44.491	00:03:45.124	0.633	G
annotation	00:03:45.124	00:03:45.785	0.66	M
annotation	00:03:45.785	00:03:47.077	1.2919999999999998	R
annotation	00:03:47.077	00:03:47.867	0.7909999999999999	G
annotation	00:03:47.867	00:03:48.518	0.65	M
annotation	00:03:48.518	00:03:49.224	0.706	P
annotation	00:03:49.224	00:03:49.911	0.687	M
annotation	00:03:49.911	00:03:50.232	0.321	D
annotation	00:03:50.232	00:03:50.883	0.65	D
annotation	00:03:50.883	00:03:51.550	0.667	N
annotation	00:03:56.274	00:03:56.995	0.721	M
annotation	00:03:56.995	00:03:57.339	0.344	D
annotation	00:03:57.339	00:03:57.655	0.315	P
annotation	00:03:57.655	00:03:57.970	0.315	M
annotation	00:03:57.970	00:03:58.291	0.321	G
annotation	00:03:58.291	00:03:58.613	0.321	M
annotation	00:03:58.613	00:03:59.259	0.6459999999999999	R
