Tier	Begin time	End time	Duration	Annotation
annotation	00:00:14.323	00:00:15.044	0.721	S
annotation	00:00:15.044	00:00:15.777	0.733	R
annotation	00:00:15.777	00:00:16.536	0.759	G
annotation	00:00:16.536	00:00:16.888	0.352	R
annotation	00:00:16.888	00:00:17.240	0.352	G
annotation	00:00:17.240	00:00:18.552	1.312	R
annotation	00:00:18.552	00:00:18.955	0.403	R
annotation	00:00:18.955	00:00:19.358	0.403	G
annotation	00:00:19.358	00:00:19.725	0.367	R
annotation	00:00:19.725	00:00:20.092	0.367	R
annotation	00:00:20.092	00:00:20.753	0.661	S
annotation	00:00:20.753	00:00:21.080	0.327	S
annotation	00:00:21.080	00:00:21.407	0.327	R
annotation	00:00:21.407	00:00:21.730	0.323	S
annotation	00:00:21.730	00:00:22.054	0.324	N
annotation	00:00:22.054	00:00:22.764	0.71	D
annotation	00:00:22.765	00:00:23.109	0.344	G
annotation	00:00:23.109	00:00:23.454	0.345	R
annotation	00:00:23.454	00:00:23.803	0.349	R
annotation	00:00:23.803	00:00:24.152	0.349	G
annotation	00:00:24.152	00:00:24.501	0.349	R
annotation	00:00:24.501	00:00:24.850	0.349	S
annotation	00:00:24.850	00:00:25.200	0.35	N
annotation	00:00:25.200	00:00:25.550	0.35	D
annotation	00:00:36.482	00:00:36.817	0.335	S
annotation	00:00:36.817	00:00:37.151	0.334	R
annotation	00:00:37.151	00:00:37.499	0.348	P
annotation	00:00:37.499	00:00:37.846	0.347	M
annotation	00:00:37.846	00:00:38.182	0.336	G
annotation	00:00:38.182	00:00:38.519	0.337	R
annotation	00:00:38.519	00:00:38.890	0.371	S
annotation	00:00:38.890	00:00:39.262	0.372	D
annotation	00:00:39.262	00:00:39.616	0.354	D
annotation	00:00:39.616	00:00:39.970	0.354	M
annotation	00:00:39.970	00:00:40.318	0.348	G
annotation	00:00:40.318	00:00:40.665	0.347	R
annotation	00:00:40.665	00:00:41.006	0.341	S
annotation	00:00:41.006	00:00:41.348	0.342	D
annotation	00:00:41.348	00:00:41.689	0.341	S
annotation	00:00:41.689	00:00:42.031	0.342	R
annotation	00:00:42.031	00:00:42.368	0.337	M
