Tier	Begin time	End time	Duration	Annotation
annotation	00:00:02.046	00:00:02.696	0.65	S
annotation	00:00:02.696	00:00:03.461	0.765	R
annotation	00:00:03.461	00:00:04.274	0.8140000000000001	G
annotation	00:00:04.274	00:00:04.662	0.38799999999999996	R
annotation	00:00:04.662	00:00:05.050	0.38799999999999996	G
annotation	00:00:05.050	00:00:06.608	1.558	R
annotation	00:00:06.608	00:00:07.019	0.41200000000000003	R
annotation	00:00:07.019	00:00:07.431	0.41200000000000003	G
annotation	00:00:07.431	00:00:07.819	0.38799999999999996	R
annotation	00:00:07.819	00:00:08.206	0.38799999999999996	R
annotation	00:00:08.206	00:00:08.931	0.725	S
annotation	00:00:08.931	00:00:09.337	0.405	S
annotation	00:00:09.337	00:00:09.742	0.405	R
annotation	00:00:09.742	00:00:10.127	0.385	S
annotation	00:00:10.127	00:00:10.512	0.385	N
annotation	00:00:10.512	00:00:11.287	0.7759999999999999	D
annotation	00:00:27.054	00:00:27.435	0.381	S
annotation	00:00:27.435	00:00:27.816	0.381	R
annotation	00:00:27.816	00:00:28.212	0.396	P
annotation	00:00:28.212	00:00:28.608	0.396	M
annotation	00:00:28.608	00:00:29.042	0.434	G
annotation	00:00:29.042	00:00:29.475	0.434	R
annotation	00:00:29.475	00:00:29.897	0.42100000000000004	S
annotation	00:00:29.897	00:00:30.318	0.42100000000000004	D
annotation	00:00:30.318	00:00:30.700	0.38299999999999995	D
annotation	00:00:30.700	00:00:31.083	0.38299999999999995	M
annotation	00:00:31.083	00:00:31.482	0.39899999999999997	G
annotation	00:00:31.482	00:00:31.881	0.39899999999999997	R
annotation	00:00:31.881	00:00:32.313	0.43200000000000005	S
annotation	00:00:32.313	00:00:32.745	0.43200000000000005	D
annotation	00:00:32.745	00:00:33.146	0.401	S
annotation	00:00:33.146	00:00:33.548	0.401	R
annotation	00:00:33.548	00:00:34.004	0.456	M
annotation	00:00:34.004	00:00:34.460	0.456	P
annotation	00:00:34.460	00:00:34.846	0.386	D
annotation	00:00:34.846	00:00:35.232	0.386	R
annotation	00:00:35.232	00:00:36.101	0.8690000000000001	S
annotation	00:00:38.174	00:00:38.601	0.42700000000000005	M
annotation	00:00:38.601	00:00:38.985	0.384	G
annotation	00:00:38.985	00:00:39.370	0.384	R
annotation	00:00:39.370	00:00:39.778	0.409	S
annotation	00:00:39.778	00:00:40.187	0.409	D
annotation	00:00:53.559	00:00:53.951	0.392	D
annotation	00:00:53.951	00:00:54.343	0.392	D
annotation	00:00:54.343	00:00:54.735	0.392	P
annotation	00:00:54.735	00:00:55.126	0.392	M
annotation	00:00:55.126	00:00:55.497	0.371	P
annotation	00:00:55.497	00:00:55.868	0.371	D
annotation	00:00:55.868	00:00:56.243	0.375	R
annotation	00:00:56.243	00:00:56.618	0.375	M
annotation	00:00:56.618	00:00:57.022	0.40399999999999997	P
annotation	00:00:57.022	00:00:57.426	0.40399999999999997	D
annotation	00:00:57.426	00:00:58.231	0.805	M
annotation	00:00:58.231	00:00:58.657	0.42700000000000005	G
annotation	00:00:58.657	00:00:59.084	0.42700000000000005	R
annotation	00:00:59.084	00:00:59.504	0.419	S
annotation	00:00:59.504	00:00:59.923	0.419	R
annotation	00:00:59.923	00:01:00.480	0.557	R
annotation	00:01:00.480	00:01:01.036	0.557	S
annotation	00:01:01.036	00:01:01.410	0.373	N
annotation	00:01:01.410	00:01:01.783	0.373	D
annotation	00:01:01.783	00:01:02.124	0.341	N
annotation	00:01:02.124	00:01:02.465	0.341	D
annotation	00:01:02.465	00:01:02.897	0.43200000000000005	P
