Tier	Begin time	End time	Duration	Annotation
annotation	00:00:12.081	00:00:13.279	1.198	P
annotation	00:00:13.279	00:00:13.655	0.376	P
annotation	00:00:13.655	00:00:14.054	0.39899999999999997	M
annotation	00:00:14.054	00:00:14.453	0.39899999999999997	R
annotation	00:00:14.453	00:00:14.854	0.401	G
annotation	00:00:14.854	00:00:15.255	0.401	R
annotation	00:00:15.255	00:00:15.709	0.45399999999999996	S
annotation	00:00:15.709	00:00:16.620	0.912	N
annotation	00:00:16.620	00:00:17.078	0.457	P
annotation	00:00:17.078	00:00:17.505	0.42700000000000005	N
annotation	00:00:17.505	00:00:17.933	0.42700000000000005	S
annotation	00:00:17.933	00:00:18.338	0.405	R
annotation	00:00:18.338	00:00:18.743	0.405	N
annotation	00:00:18.743	00:00:21.116	2.373	S
annotation	00:00:21.116	00:00:21.588	0.47100000000000003	N
annotation	00:00:21.588	00:00:22.059	0.47100000000000003	S
annotation	00:00:22.059	00:00:22.450	0.391	R
annotation	00:00:22.450	00:00:22.840	0.391	G
annotation	00:00:22.840	00:00:23.263	0.423	R
annotation	00:00:23.263	00:00:23.686	0.423	S
annotation	00:00:23.686	00:00:24.121	0.435	R
annotation	00:00:24.121	00:00:24.555	0.435	M
annotation	00:00:24.555	00:00:24.988	0.433	P
annotation	00:00:24.988	00:00:25.421	0.433	N
annotation	00:00:25.421	00:00:25.860	0.43799999999999994	P
annotation	00:00:25.860	00:00:26.718	0.8590000000000001	M
annotation	00:00:26.718	00:00:27.139	0.42	N
annotation	00:00:27.139	00:00:27.512	0.373	P
annotation	00:00:27.512	00:00:27.885	0.373	N
annotation	00:00:27.885	00:00:28.311	0.426	P
annotation	00:00:28.311	00:00:28.736	0.426	M
annotation	00:00:28.736	00:00:29.115	0.37799999999999995	R
annotation	00:00:29.115	00:00:29.892	0.778	G
annotation	00:00:29.892	00:00:30.291	0.39899999999999997	R
annotation	00:00:30.291	00:00:30.723	0.431	N
annotation	00:00:30.723	00:00:31.154	0.431	S
annotation	00:00:31.154	00:00:31.562	0.408	R
annotation	00:00:31.562	00:00:31.970	0.408	G
annotation	00:00:31.970	00:00:32.409	0.439	R
annotation	00:00:32.409	00:00:33.239	0.8290000000000001	S
annotation	00:00:33.239	00:00:33.629	0.39	N
annotation	00:00:33.629	00:00:34.084	0.455	P
annotation	00:00:34.084	00:00:34.538	0.455	N
annotation	00:00:34.538	00:00:34.941	0.402	S
annotation	00:00:34.941	00:00:35.343	0.402	R
annotation	00:00:35.343	00:00:35.735	0.392	G
annotation	00:00:35.735	00:00:36.544	0.809	R
annotation	00:00:36.544	00:00:36.961	0.41700000000000004	S
annotation	00:00:36.961	00:00:37.372	0.41100000000000003	R
annotation	00:00:37.372	00:00:37.784	0.41100000000000003	M
annotation	00:00:37.784	00:00:38.201	0.41700000000000004	P
annotation	00:00:38.201	00:00:38.618	0.41700000000000004	N
annotation	00:00:38.618	00:00:41.074	2.456	N
annotation	00:00:41.074	00:00:41.499	0.425	S
annotation	00:00:41.499	00:00:41.925	0.425	N
annotation	00:00:41.925	00:00:42.307	0.382	P
annotation	00:00:42.307	00:00:43.085	0.778	M
annotation	00:00:43.085	00:00:43.482	0.397	R
annotation	00:00:43.482	00:00:43.910	0.428	G
annotation	00:00:43.910	00:00:44.338	0.428	R
annotation	00:00:44.338	00:00:44.726	0.38799999999999996	S
annotation	00:00:44.726	00:00:45.114	0.38799999999999996	R
annotation	00:00:45.114	00:00:47.463	2.349	S
annotation	00:00:47.463	00:00:47.870	0.40700000000000003	M
annotation	00:00:47.870	00:00:48.278	0.40700000000000003	R
annotation	00:00:48.278	00:00:48.667	0.389	P
annotation	00:00:48.667	00:00:49.056	0.389	M
annotation	00:00:49.056	00:00:49.507	0.45	N
annotation	00:00:49.507	00:00:49.957	0.45	P
annotation	00:00:49.957	00:00:50.376	0.419	S
annotation	00:00:50.376	00:00:50.795	0.419	N
annotation	00:00:50.795	00:00:51.184	0.38799999999999996	P
annotation	00:00:51.184	00:00:51.572	0.38799999999999996	M
annotation	00:00:51.572	00:00:51.985	0.413	N
annotation	00:00:51.985	00:00:52.398	0.413	S
annotation	00:00:52.398	00:00:52.812	0.414	R
annotation	00:00:52.812	00:00:53.635	0.8220000000000001	G
annotation	00:00:53.635	00:00:54.043	0.408	R
annotation	00:00:54.043	00:00:54.467	0.424	S
annotation	00:00:54.467	00:00:54.891	0.424	R
annotation	00:00:54.891	00:00:55.277	0.385	N
annotation	00:00:55.277	00:00:56.037	0.76	S
annotation	00:00:56.037	00:00:56.412	0.375	N
annotation	00:00:56.412	00:00:56.830	0.418	P
annotation	00:00:56.830	00:00:57.247	0.418	N
annotation	00:00:57.247	00:00:57.647	0.4	S
annotation	00:00:57.647	00:00:58.046	0.4	R
annotation	00:00:58.046	00:00:58.436	0.39	S
annotation	00:00:58.436	00:00:59.244	0.8079999999999999	N
annotation	00:00:59.244	00:00:59.662	0.418	P
annotation	00:00:59.662	00:01:00.080	0.418	D
annotation	00:01:00.080	00:01:00.498	0.418	N
annotation	00:01:00.498	00:01:00.941	0.444	P
annotation	00:01:00.941	00:01:01.385	0.444	M
annotation	00:01:01.385	00:01:01.756	0.371	R
annotation	00:01:01.756	00:01:02.127	0.371	G
annotation	00:01:02.127	00:01:02.556	0.429	R
annotation	00:01:02.556	00:01:02.985	0.429	S
annotation	00:01:02.985	00:01:03.377	0.392	R
annotation	00:01:03.377	00:01:03.769	0.392	M
annotation	00:01:03.769	00:01:04.168	0.39799999999999996	P
annotation	00:01:04.168	00:01:04.566	0.39799999999999996	N
annotation	00:01:04.566	00:01:05.499	0.9329999999999999	P
annotation	00:01:05.499	00:01:05.868	0.368	P
annotation	00:01:05.868	00:01:06.236	0.368	M
annotation	00:01:06.236	00:01:06.621	0.384	R
annotation	00:01:06.621	00:01:07.005	0.384	R
annotation	00:01:07.005	00:01:07.404	0.39899999999999997	G
annotation	00:01:07.404	00:01:07.803	0.39899999999999997	R
annotation	00:01:07.803	00:01:08.220	0.418	R
annotation	00:01:08.220	00:01:08.638	0.418	S
annotation	00:01:08.638	00:01:09.030	0.392	S
annotation	00:01:09.030	00:01:09.421	0.392	N
annotation	00:01:09.421	00:01:09.830	0.409	N
annotation	00:01:09.830	00:01:10.239	0.409	P
annotation	00:01:10.239	00:01:10.654	0.415	N
annotation	00:01:10.654	00:01:11.070	0.415	N
annotation	00:01:11.070	00:01:11.864	0.794	S
annotation	00:01:11.864	00:01:12.261	0.396	S
annotation	00:01:12.261	00:01:12.657	0.396	N
annotation	00:01:12.657	00:01:13.043	0.386	N
annotation	00:01:13.043	00:01:13.430	0.386	P
annotation	00:01:13.430	00:01:13.819	0.39	N
annotation	00:01:13.819	00:01:14.209	0.39	S
annotation	00:01:14.209	00:01:14.624	0.415	R
annotation	00:01:14.624	00:01:15.039	0.415	G
annotation	00:01:15.039	00:01:15.447	0.409	R
annotation	00:01:15.447	00:01:15.856	0.409	S
annotation	00:01:15.856	00:01:16.267	0.41200000000000003	R
annotation	00:01:16.267	00:01:16.679	0.41200000000000003	M
annotation	00:01:16.679	00:01:17.085	0.405	P
annotation	00:01:17.085	00:01:17.490	0.405	N
annotation	00:01:17.490	00:01:17.911	0.42100000000000004	P
annotation	00:01:17.911	00:01:18.332	0.42100000000000004	M
annotation	00:01:18.332	00:01:18.721	0.389	N
annotation	00:01:18.721	00:01:19.109	0.389	P
annotation	00:01:19.109	00:01:19.503	0.39299999999999996	S
annotation	00:01:19.503	00:01:19.896	0.39299999999999996	N
annotation	00:01:19.896	00:01:20.306	0.41	R
annotation	00:01:20.306	00:01:20.715	0.41	S
annotation	00:01:20.715	00:01:21.123	0.408	G
annotation	00:01:21.123	00:01:21.531	0.408	R
annotation	00:01:21.531	00:01:21.917	0.386	S
annotation	00:01:21.917	00:01:22.303	0.386	N
annotation	00:01:22.303	00:01:22.742	0.439	P
annotation	00:01:22.742	00:01:23.181	0.439	N
annotation	00:01:23.181	00:01:23.580	0.39899999999999997	S
annotation	00:01:23.580	00:01:23.978	0.39899999999999997	R
annotation	00:01:23.978	00:01:24.381	0.40299999999999997	G
annotation	00:01:24.381	00:01:25.180	0.799	R
annotation	00:01:25.180	00:01:25.576	0.396	S
annotation	00:01:25.576	00:01:26.020	0.444	N
annotation	00:01:26.020	00:01:26.848	0.828	P
annotation	00:01:26.848	00:01:27.232	0.384	M
annotation	00:01:27.232	00:01:27.648	0.41600000000000004	R
annotation	00:01:27.648	00:01:28.064	0.41600000000000004	G
annotation	00:01:28.064	00:01:28.475	0.41100000000000003	R
annotation	00:01:28.475	00:01:28.886	0.41100000000000003	S
annotation	00:01:28.886	00:01:29.307	0.42100000000000004	R
annotation	00:01:29.307	00:01:29.728	0.42100000000000004	M
annotation	00:01:29.728	00:01:30.133	0.405	P
annotation	00:01:30.133	00:01:30.538	0.405	N
annotation	00:01:30.538	00:01:31.177	0.638	P
annotation	00:02:23.264	00:02:25.486	2.222	S
annotation	00:02:25.486	00:02:25.905	0.42	S
annotation	00:02:25.905	00:02:26.325	0.42	N
annotation	00:02:26.325	00:02:26.745	0.42	P
annotation	00:02:26.745	00:02:27.556	0.81	M
annotation	00:02:27.556	00:02:27.946	0.39	R
annotation	00:02:27.946	00:02:28.353	0.408	G
annotation	00:02:28.353	00:02:28.761	0.408	R
annotation	00:02:28.761	00:02:29.156	0.395	S
annotation	00:02:29.156	00:02:29.552	0.395	R
annotation	00:02:29.552	00:02:31.144	1.5919999999999999	S
annotation	00:02:31.144	00:02:31.967	0.823	S
annotation	00:02:31.967	00:02:32.357	0.39	N
annotation	00:02:32.357	00:02:32.747	0.39	S
annotation	00:02:32.747	00:02:33.137	0.39	R
annotation	00:02:33.137	00:02:33.527	0.39	G
annotation	00:02:33.527	00:02:33.905	0.37799999999999995	R
annotation	00:02:33.905	00:02:34.283	0.37799999999999995	S
annotation	00:02:34.283	00:02:34.709	0.426	R
annotation	00:02:34.709	00:02:35.136	0.426	M
annotation	00:02:35.136	00:02:35.507	0.371	P
annotation	00:02:35.507	00:02:35.878	0.371	N
annotation	00:02:35.878	00:02:38.184	2.306	S
annotation	00:02:38.184	00:02:38.975	0.79	R
annotation	00:02:38.975	00:02:39.783	0.8079999999999999	N
annotation	00:02:39.783	00:02:40.549	0.7659999999999999	P
annotation	00:02:40.549	00:02:41.692	1.143	M
annotation	00:02:41.692	00:02:42.111	0.419	R
annotation	00:02:42.111	00:02:42.928	0.8170000000000001	G
annotation	00:02:42.928	00:02:43.714	0.7859999999999999	R
annotation	00:02:43.714	00:02:44.513	0.799	S
annotation	00:02:44.513	00:02:45.300	0.7859999999999999	S
annotation	00:02:45.300	00:02:46.051	0.7509999999999999	R
annotation	00:02:46.051	00:02:46.833	0.782	M
annotation	00:02:46.833	00:02:47.592	0.758	P
annotation	00:02:47.592	00:02:48.382	0.79	N
annotation	00:02:56.232	00:02:56.619	0.387	R
annotation	00:02:56.619	00:02:57.037	0.418	N
annotation	00:02:57.037	00:02:57.456	0.418	P
annotation	00:02:57.456	00:02:58.041	0.585	M
annotation	00:02:58.041	00:02:58.236	0.195	R
annotation	00:02:58.236	00:02:58.668	0.43200000000000005	G
annotation	00:02:58.668	00:02:59.101	0.43200000000000005	R
annotation	00:02:59.101	00:02:59.489	0.389	S
annotation	00:02:59.489	00:02:59.878	0.389	S
annotation	00:02:59.878	00:03:00.301	0.423	R
annotation	00:03:00.301	00:03:00.723	0.423	M
annotation	00:03:00.723	00:03:01.126	0.40299999999999997	P
annotation	00:03:01.126	00:03:01.529	0.40299999999999997	N
annotation	00:03:01.529	00:03:03.857	2.3280000000000003	S
annotation	00:03:03.857	00:03:04.232	0.375	S
annotation	00:03:04.232	00:03:04.607	0.375	N
annotation	00:03:04.607	00:03:05.018	0.41100000000000003	P
annotation	00:03:05.018	00:03:05.802	0.784	M
annotation	00:03:05.802	00:03:06.175	0.373	R
annotation	00:03:06.175	00:03:06.586	0.41	G
annotation	00:03:06.586	00:03:06.996	0.41	R
annotation	00:03:06.996	00:03:07.380	0.384	S
annotation	00:03:07.380	00:03:07.765	0.384	R
annotation	00:03:07.765	00:03:09.318	1.554	S
annotation	00:03:09.318	00:03:10.130	0.8109999999999999	S
annotation	00:03:10.130	00:03:10.528	0.39899999999999997	N
annotation	00:03:10.528	00:03:10.927	0.39899999999999997	S
annotation	00:03:10.927	00:03:11.338	0.41200000000000003	R
annotation	00:03:11.338	00:03:11.750	0.41200000000000003	G
annotation	00:03:11.750	00:03:12.134	0.384	R
annotation	00:03:12.134	00:03:12.518	0.384	S
annotation	00:03:12.518	00:03:12.928	0.409	R
annotation	00:03:12.928	00:03:13.337	0.409	M
annotation	00:03:13.337	00:03:13.716	0.379	P
annotation	00:03:13.716	00:03:14.095	0.379	N
annotation	00:03:14.095	00:03:16.502	2.407	N
annotation	00:03:16.502	00:03:16.865	0.363	S
annotation	00:03:16.865	00:03:17.229	0.363	N
annotation	00:03:17.229	00:03:17.634	0.405	P
annotation	00:03:17.634	00:03:18.039	0.405	M
annotation	00:03:18.039	00:03:18.425	0.387	R
annotation	00:03:18.425	00:03:18.812	0.387	G
