Tier	Begin time	End time	Duration	Annotation
annotation	00:00:16.179	00:00:17.195	1.016	P
annotation	00:00:17.195	00:00:17.489	0.294	P
annotation	00:00:17.489	00:00:17.784	0.294	M
annotation	00:00:17.784	00:00:18.078	0.294	R
annotation	00:00:18.078	00:00:18.438	0.36	G
annotation	00:00:18.438	00:00:18.798	0.36	R
annotation	00:00:18.798	00:00:19.129	0.331	S
annotation	00:00:19.129	00:00:19.789	0.659	N
annotation	00:00:19.789	00:00:20.117	0.32799999999999996	P
annotation	00:00:20.117	00:00:20.451	0.33399999999999996	N
annotation	00:00:20.451	00:00:20.785	0.33399999999999996	S
annotation	00:00:20.785	00:00:21.140	0.355	R
annotation	00:00:21.140	00:00:21.494	0.355	N
annotation	00:00:21.494	00:00:23.339	1.844	S
annotation	00:00:23.339	00:00:23.648	0.31	N
annotation	00:00:23.648	00:00:23.958	0.31	S
annotation	00:00:23.958	00:00:24.273	0.315	R
annotation	00:00:24.273	00:00:24.588	0.315	G
annotation	00:00:24.588	00:00:24.907	0.319	R
annotation	00:00:24.907	00:00:25.226	0.319	S
annotation	00:00:25.226	00:00:25.543	0.317	R
annotation	00:00:25.543	00:00:25.860	0.317	M
annotation	00:00:25.860	00:00:26.175	0.315	P
annotation	00:00:26.175	00:00:26.490	0.315	N
annotation	00:00:36.912	00:00:37.250	0.33799999999999997	P
annotation	00:00:37.250	00:00:37.905	0.655	M
annotation	00:00:37.905	00:00:38.223	0.317	N
annotation	00:00:38.223	00:00:38.559	0.336	P
annotation	00:00:38.559	00:00:38.895	0.336	N
annotation	00:00:38.895	00:00:39.221	0.327	P
annotation	00:00:39.221	00:00:39.548	0.327	M
annotation	00:00:39.548	00:00:39.890	0.342	R
annotation	00:00:39.890	00:00:40.576	0.6859999999999999	G
annotation	00:00:40.576	00:00:40.920	0.344	R
annotation	00:00:40.920	00:00:41.252	0.33299999999999996	N
annotation	00:00:41.252	00:00:41.585	0.33299999999999996	S
annotation	00:00:41.585	00:00:41.914	0.32899999999999996	R
annotation	00:00:41.914	00:00:42.243	0.32899999999999996	G
annotation	00:00:42.243	00:00:42.581	0.33799999999999997	R
annotation	00:00:42.581	00:00:43.249	0.6679999999999999	S
annotation	00:00:43.249	00:00:43.578	0.33	N
annotation	00:00:43.578	00:00:43.920	0.342	P
annotation	00:00:43.920	00:00:44.262	0.342	N
annotation	00:00:44.262	00:00:44.601	0.33899999999999997	S
annotation	00:00:44.601	00:00:44.940	0.33899999999999997	R
annotation	00:00:44.940	00:00:45.260	0.32	G
