Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.801	00:00:03.133	1.331	P
annotation	00:00:03.133	00:00:03.576	0.444	P
annotation	00:00:03.576	00:00:04.020	0.444	M
annotation	00:00:04.020	00:00:04.464	0.444	R
annotation	00:00:04.464	00:00:04.907	0.444	G
annotation	00:00:04.907	00:00:05.351	0.444	R
annotation	00:00:05.351	00:00:05.795	0.444	S
annotation	00:00:05.795	00:00:06.682	0.887	N
annotation	00:00:06.682	00:00:07.126	0.444	P
annotation	00:00:07.126	00:00:07.570	0.444	N
annotation	00:00:07.570	00:00:08.013	0.444	S
annotation	00:00:08.013	00:00:08.457	0.444	R
annotation	00:00:08.457	00:00:08.901	0.444	N
annotation	00:00:29.802	00:00:30.270	0.469	P
annotation	00:00:30.270	00:00:31.208	0.937	M
annotation	00:00:31.208	00:00:31.676	0.469	N
annotation	00:00:31.676	00:00:32.145	0.469	P
annotation	00:00:32.145	00:00:32.614	0.469	N
annotation	00:00:32.614	00:00:33.083	0.469	P
annotation	00:00:33.083	00:00:33.551	0.469	M
annotation	00:00:33.551	00:00:34.020	0.469	R
annotation	00:00:34.020	00:00:34.957	0.937	G
annotation	00:00:34.957	00:00:35.426	0.469	R
annotation	00:00:35.426	00:00:35.895	0.469	N
annotation	00:00:35.895	00:00:36.364	0.469	S
annotation	00:00:36.364	00:00:36.832	0.469	R
annotation	00:00:36.832	00:00:37.301	0.469	G
annotation	00:00:37.301	00:00:37.815	0.514	R
annotation	00:00:37.815	00:00:38.844	1.0290000000000001	S
annotation	00:00:38.844	00:00:39.359	0.514	N
annotation	00:00:39.359	00:00:39.873	0.514	P
annotation	00:00:39.873	00:00:40.388	0.514	N
annotation	00:00:40.388	00:00:40.902	0.514	S
annotation	00:00:40.902	00:00:41.416	0.514	R
annotation	00:00:41.416	00:00:41.931	0.514	G
annotation	00:01:13.120	00:01:15.781	2.662	N
annotation	00:01:15.781	00:01:16.225	0.444	S
annotation	00:01:16.225	00:01:16.669	0.444	N
annotation	00:01:16.669	00:01:17.112	0.444	P
annotation	00:01:17.112	00:01:17.999	0.887	M
annotation	00:01:17.999	00:01:18.443	0.444	R
annotation	00:01:18.443	00:01:18.887	0.444	G
annotation	00:01:18.887	00:01:19.330	0.444	R
annotation	00:01:19.330	00:01:19.774	0.444	S
annotation	00:01:19.774	00:01:20.218	0.444	R
