UID	tonic
10001	210.54
10002	137.21
10003	193.04
10004	165.12
10005	164.17
10006	165.12
10007	170.95
10008	206.92
10009	173.94
10010	170.95
10011	168.98
10012	246.14
10013	157.65
10014	158.56
10015	156.74
10016	157.65
10017	236.37
10018	130.25
10019	129.5
10020	195.28
10021	174.95
10022	201.01
10023	155.84
10024	241.9
10025	244.72
10026	168.01
10027	154.04
10028	168.01
10029	168.98
10030	165.12
10031	161.34
10032	185.37
10033	154.04
10034	204.53
10035	205.72
10036	154.04
10037	154.04
10038	212.99
10039	131
10040	131
10041	174.95
10042	156.74
10043	167.04
10044	168.01
10045	122.22
10046	138.81
10047	147.93
10048	147.07
10049	169.96
10050	169.96
11001	206.92
11002	104.54
11003	164.17
11004	170.95
11005	161.34
11006	126.53
11007	142.06
11008	142.06
11009	124.36
11010	156.74
11011	156.74
11012	128.75
11013	174.95
11014	126.53
11015	120.11
11016	155.84
11017	165.12
11018	161.34
11019	161.34
11020	176.99
11021	178.02
11022	205.72
11023	211.76
11024	147.07
11025	143.71
11026	142.88
11027	147.93
11028	147.07
11029	147.93
11030	146.23
11031	145.38
11032	144.54
11033	146.23
11034	120.11
11035	237.74
11036	168.98
11037	197.56
11038	194.16
11039	194.16
11040	208.12
11041	206.92
11042	206.92
11043	122.22
11044	145.38
11045	147.93
11046	168.98
11047	138.01
11048	150.52
11049	150.52
11050	100.39
12001	165.12
12002	138.81
12003	193.04
12004
12005	134.85
12006	170.95
12007	170.95
12008	206.92
12009	209.32
12010	142.06
12011	141.24
12012	156.74
12013	197.56
12014	129.5
12015	134.07
12016	134.85
12017	137.21
12018	131.76
12019	131.76
12020	154.94
12021	156.74
12022	164.17
12023	178.02
12024	186.45
12025	205.72
12026	129.5
12027	131.76
12028	131.76
12029	131
12030	145.38
12031	145.38
12032	198.7
12033	142.06
12034	118.05
12035	197.56
12036	197.56
12037	190.82
12038	179.05
12039	179.05
12040	136.42
12041	182.18
12042	145.38
12043	147.07
12044	147.93
12045	147.93
12046	131.76
12047	138.01
12048	146.23
13001	135.63
13002	143.71
13003	139.61
13004	193.04
13005	171.94
13006	226.98
13007	155.84
13008	137.21
13009	119.42
13010	109.49
13011	161.34
13012	176.99
13013	132.53
13014	131.76
13015	147.07
13016	130.25
13017	141.24
13018	126.53
13019	142.06
13020	143.71
13021	143.71
13022	142.88
13023	191.92
13024	146.23
13025	169.96
13026	197.56
13027	196.42
13028	138.01
