Tier	Begin time	End time	Duration	Annotation
annotation	00:00:00.970	00:00:01.381	0.411	D
annotation	00:00:01.381	00:00:01.792	0.411	P
annotation	00:00:01.792	00:00:02.534	0.742	M
annotation	00:00:02.534	00:00:02.831	0.297	G
annotation	00:00:02.831	00:00:03.127	0.296	R
annotation	00:00:03.127	00:00:03.824	0.697	S
annotation	00:00:03.824	00:00:04.181	0.357	R
annotation	00:00:04.181	00:00:04.538	0.357	N
annotation	00:00:04.538	00:00:04.876	0.338	D
annotation	00:00:04.876	00:00:05.215	0.339	D
annotation	00:00:05.215	00:00:05.595	0.38	P
annotation	00:00:05.595	00:00:05.976	0.381	P
annotation	00:00:05.976	00:00:06.649	0.673	S
annotation	00:00:06.649	00:00:07.331	0.682	S
annotation	00:00:07.331	00:00:07.685	0.354	N
annotation	00:00:07.685	00:00:08.039	0.354	S
annotation	00:00:08.039	00:00:08.372	0.333	G
annotation	00:00:08.372	00:00:08.704	0.332	R
annotation	00:00:08.704	00:00:09.351	0.647	G
annotation	00:00:09.351	00:00:10.063	0.712	M
annotation	00:00:10.063	00:00:10.727	0.664	M
annotation	00:00:10.727	00:00:11.076	0.349	G
annotation	00:00:11.076	00:00:11.425	0.349	R
annotation	00:00:11.425	00:00:11.774	0.349	G
annotation	00:00:11.774	00:00:12.123	0.349	M
annotation	00:00:12.123	00:00:12.796	0.673	P
annotation	00:00:12.796	00:00:13.109	0.313	M
annotation	00:00:13.109	00:00:13.741	0.632	D
annotation	00:00:13.741	00:00:14.059	0.318	P
annotation	00:00:14.059	00:00:14.432	0.373	S^
annotation	00:00:14.432	00:00:14.805	0.373	N
annotation	00:00:14.805	00:00:15.150	0.345	D
annotation	00:00:15.150	00:00:15.494	0.344	P
annotation	00:00:15.494	00:00:15.804	0.31	S^
annotation	00:00:15.804	00:00:16.115	0.311	N
annotation	00:00:16.115	00:00:16.442	0.327	D
annotation	00:00:16.442	00:00:16.770	0.328	R^
annotation	00:00:16.770	00:00:17.488	0.718	S^
annotation	00:00:17.488	00:00:17.785	0.297	P
annotation	00:00:17.785	00:00:18.082	0.297	D
annotation	00:00:18.082	00:00:18.415	0.333	P
annotation	00:00:18.415	00:00:19.075	0.66	N
annotation	00:00:19.075	00:00:19.755	0.68	D
annotation	00:00:19.755	00:00:20.108	0.353	P
annotation	00:00:20.108	00:00:20.783	0.675	M
annotation	00:00:20.783	00:00:21.423	0.64	G
annotation	00:00:21.423	00:00:21.762	0.339	R
annotation	00:00:21.762	00:00:22.102	0.34	G
annotation	00:00:22.102	00:00:22.439	0.337	M
annotation	00:00:22.439	00:00:22.776	0.337	P
annotation	00:00:22.776	00:00:23.463	0.687	S
annotation	00:00:23.463	00:00:23.783	0.32	D
annotation	00:00:23.783	00:00:24.102	0.319	D
annotation	00:00:24.102	00:00:24.422	0.32	P
annotation	00:00:24.422	00:00:24.741	0.319	N
annotation	00:00:24.741	00:00:25.039	0.298	N
annotation	00:00:25.039	00:00:25.337	0.298	D
annotation	00:00:25.337	00:00:25.669	0.332	M
annotation	00:00:25.669	00:00:26.001	0.332	P
annotation	00:00:26.001	00:00:26.325	0.324	D
annotation	00:00:26.325	00:00:26.650	0.325	N
annotation	00:00:26.650	00:00:26.989	0.339	D
annotation	00:00:26.989	00:00:27.328	0.339	P
annotation	00:00:27.328	00:00:27.886	0.558	M
annotation	00:00:27.886	00:00:28.203	0.317	G
annotation	00:00:28.203	00:00:28.520	0.317	R
annotation	00:00:28.520	00:00:28.843	0.323	S
annotation	00:00:28.843	00:00:29.167	0.324	M
annotation	00:00:29.168	00:00:29.508	0.34	G
annotation	00:00:29.508	00:00:29.848	0.34	M
annotation	00:00:29.848	00:00:30.140	0.292	R
annotation	00:00:30.140	00:00:30.432	0.292	G
annotation	00:00:30.432	00:00:30.755	0.323	M
annotation	00:00:30.755	00:00:31.078	0.323	P
annotation	00:00:31.078	00:00:31.403	0.325	P
annotation	00:00:31.403	00:00:31.729	0.326	D
annotation	00:00:31.729	00:00:33.206	1.477	M
annotation	00:00:33.206	00:00:33.584	0.378	P
annotation	00:00:33.584	00:00:34.318	0.734	D
annotation	00:00:34.318	00:00:34.674	0.356	D
annotation	00:00:34.674	00:00:35.003	0.329	P
annotation	00:00:35.003	00:00:35.332	0.329	M
annotation	00:00:35.332	00:00:35.617	0.285	M
annotation	00:00:35.617	00:00:36.252	0.635	P
annotation	00:00:36.252	00:00:36.601	0.349	P
annotation	00:00:36.601	00:00:36.920	0.319	M
annotation	00:00:36.920	00:00:37.238	0.318	G
annotation	00:00:37.238	00:00:37.574	0.336	R
annotation	00:00:37.574	00:00:37.909	0.335	G
annotation	00:00:37.909	00:00:38.230	0.321	M
annotation	00:00:38.230	00:00:38.551	0.321	P
annotation	00:00:38.551	00:00:38.900	0.349	M
annotation	00:00:38.900	00:00:39.566	0.666	D
annotation	00:00:39.566	00:00:39.883	0.317	P
annotation	00:00:39.883	00:00:40.231	0.348	S^
annotation	00:00:40.231	00:00:40.579	0.348	N
annotation	00:00:40.579	00:00:40.910	0.331	D
annotation	00:00:40.910	00:00:41.241	0.331	P
annotation	00:00:41.241	00:00:41.579	0.338	S^
annotation	00:00:41.579	00:00:41.917	0.338	N
annotation	00:00:41.917	00:00:42.253	0.336	D
annotation	00:00:42.253	00:00:42.588	0.335	R^
annotation	00:00:42.588	00:00:44.139	1.551	S^
annotation	00:00:44.139	00:00:44.483	0.344	P
annotation	00:00:44.483	00:00:44.827	0.344	D
annotation	00:00:44.827	00:00:45.151	0.324	P
annotation	00:00:45.151	00:00:45.475	0.324	S^
annotation	00:00:45.475	00:00:45.812	0.337	N
annotation	00:00:45.812	00:00:46.149	0.337	S^
annotation	00:00:46.149	00:00:46.463	0.314	G^
annotation	00:00:46.463	00:00:46.778	0.315	R^
annotation	00:00:46.778	00:00:47.125	0.347	G^
annotation	00:00:47.125	00:00:47.472	0.347	M^
annotation	00:00:47.472	00:00:47.804	0.332	G^
annotation	00:00:47.804	00:00:48.137	0.333	M^
annotation	00:00:48.137	00:00:48.786	0.649	R^
annotation	00:00:48.786	00:00:49.102	0.316	P^
annotation	00:00:49.102	00:00:49.419	0.317	M^
annotation	00:00:49.419	00:00:50.326	0.907	R^
annotation	00:00:50.326	00:00:50.644	0.318	R^
annotation	00:00:50.645	00:00:50.948	0.303	S^
annotation	00:00:50.948	00:00:51.251	0.303	N
annotation	00:00:51.251	00:00:51.564	0.313	D
annotation	00:00:51.564	00:00:51.877	0.313	D
annotation	00:00:51.877	00:00:52.173	0.296	P
annotation	00:00:52.173	00:00:52.826	0.653	S^
annotation	00:00:52.826	00:00:53.182	0.356	N
annotation	00:00:53.182	00:00:53.513	0.331	D
annotation	00:00:53.513	00:00:53.844	0.331	N
annotation	00:00:53.844	00:00:54.164	0.32	S^
annotation	00:00:54.164	00:00:54.484	0.32	R
