Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.161	00:00:01.518	0.35600000000000004	S
annotation	00:00:01.518	00:00:02.230	0.713	S
annotation	00:00:02.230	00:00:02.587	0.35600000000000004	S
annotation	00:00:02.587	00:00:02.943	0.35600000000000004	N
annotation	00:00:02.943	00:00:03.300	0.35600000000000004	D
annotation	00:00:03.300	00:00:03.656	0.35600000000000004	R
annotation	00:00:03.656	00:00:04.012	0.35600000000000004	S
annotation	00:00:04.012	00:00:04.369	0.35600000000000004	N
annotation	00:00:04.369	00:00:04.725	0.35600000000000004	N
annotation	00:00:04.725	00:00:05.081	0.35600000000000004	D
annotation	00:00:05.081	00:00:05.438	0.35600000000000004	D
annotation	00:00:05.438	00:00:05.794	0.35600000000000004	P
annotation	00:00:05.794	00:00:06.150	0.35600000000000004	M
annotation	00:00:06.150	00:00:06.507	0.35600000000000004	G
annotation	00:00:06.507	00:00:06.863	0.35600000000000004	M
annotation	00:00:06.863	00:00:07.239	0.376	P
annotation	00:00:07.239	00:00:07.614	0.376	D
annotation	00:00:07.614	00:00:07.990	0.376	N
annotation	00:00:07.990	00:00:08.741	0.7509999999999999	D
annotation	00:00:08.741	00:00:09.116	0.376	R
annotation	00:00:09.116	00:00:09.492	0.376	S
annotation	00:00:09.492	00:00:09.867	0.376	N
annotation	00:00:09.867	00:00:10.243	0.376	D
annotation	00:00:10.243	00:00:10.619	0.376	P
annotation	00:00:10.619	00:00:10.994	0.376	M
annotation	00:00:10.994	00:00:11.370	0.376	G
annotation	00:00:11.370	00:00:11.745	0.376	M
annotation	00:00:11.745	00:00:12.121	0.376	P
annotation	00:00:12.121	00:00:12.496	0.376	D
annotation	00:00:12.496	00:00:12.872	0.376	N
annotation	00:00:23.677	00:00:24.034	0.35700000000000004	S
annotation	00:00:24.034	00:00:24.391	0.35700000000000004	R
annotation	00:00:24.391	00:00:24.747	0.35700000000000004	G
annotation	00:00:24.747	00:00:25.104	0.35700000000000004	R
annotation	00:00:25.104	00:00:25.461	0.35700000000000004	S
annotation	00:00:25.461	00:00:25.817	0.35700000000000004	N
annotation	00:00:25.817	00:00:26.174	0.35700000000000004	S
annotation	00:00:26.174	00:00:26.531	0.35700000000000004	R
annotation	00:00:26.531	00:00:26.887	0.35700000000000004	S
annotation	00:00:26.887	00:00:27.244	0.35700000000000004	N
annotation	00:00:27.244	00:00:27.601	0.35700000000000004	R
annotation	00:00:27.601	00:00:27.957	0.35700000000000004	S
annotation	00:00:27.957	00:00:28.314	0.35700000000000004	N
annotation	00:00:28.314	00:00:28.671	0.35700000000000004	D
annotation	00:00:28.671	00:00:29.028	0.35700000000000004	N
annotation	00:00:29.028	00:00:29.384	0.35700000000000004	D
annotation	00:00:29.384	00:00:31.407	2.023	N
annotation	00:00:31.407	00:00:31.745	0.337	S
annotation	00:00:31.745	00:00:32.082	0.337	N
annotation	00:00:32.082	00:00:32.419	0.337	D
annotation	00:00:32.419	00:00:32.756	0.337	P
annotation	00:00:32.756	00:00:33.093	0.337	M
annotation	00:00:33.093	00:00:33.430	0.337	G
annotation	00:00:33.430	00:00:33.768	0.337	M
annotation	00:00:33.768	00:00:34.105	0.337	P
annotation	00:00:34.105	00:00:34.442	0.337	D
annotation	00:00:34.442	00:00:34.779	0.337	N
annotation	00:00:34.779	00:00:35.469	0.69	P
annotation	00:00:35.469	00:00:35.815	0.345	M
annotation	00:00:35.815	00:00:36.160	0.345	G
annotation	00:00:36.160	00:00:36.505	0.345	N
annotation	00:00:36.505	00:00:37.195	0.69	D
annotation	00:00:37.195	00:00:37.540	0.345	G
annotation	00:00:37.540	00:00:37.885	0.345	D
annotation	00:00:37.885	00:00:38.576	0.69	P
annotation	00:00:38.576	00:00:38.921	0.345	M
annotation	00:00:38.921	00:00:39.266	0.345	G
