Tier	Begin time	End time	Duration	Annotation
annotation	00:00:28.328	00:00:28.677	0.349	S
annotation	00:00:28.677	00:00:29.359	0.682	S
annotation	00:00:29.359	00:00:29.692	0.333	S
annotation	00:00:31.104	00:00:31.462	0.358	N
annotation	00:00:31.462	00:00:31.820	0.358	N
annotation	00:00:31.820	00:00:32.154	0.334	D
annotation	00:00:32.154	00:00:32.487	0.333	D
annotation	00:00:32.487	00:00:32.817	0.33	P
annotation	00:00:32.817	00:00:33.147	0.33	M
annotation	00:00:33.147	00:00:33.469	0.322	G
annotation	00:00:33.469	00:00:33.791	0.322	M
annotation	00:00:33.791	00:00:34.117	0.326	P
annotation	00:00:34.117	00:00:34.444	0.327	D
annotation	00:00:34.444	00:00:34.790	0.346	N
annotation	00:00:34.790	00:00:35.461	0.671	D
annotation	00:00:35.461	00:00:35.785	0.324	R
annotation	00:00:35.785	00:00:36.109	0.324	S
annotation	00:00:36.109	00:00:36.432	0.323	N
annotation	00:00:36.432	00:00:36.750	0.318	D
annotation	00:00:36.750	00:00:37.067	0.317	P
annotation	00:00:37.067	00:00:37.406	0.339	M
annotation	00:00:37.406	00:00:37.744	0.338	G
annotation	00:00:37.744	00:00:38.089	0.345	M
annotation	00:00:38.089	00:00:38.434	0.345	P
annotation	00:00:38.434	00:00:38.765	0.331	D
annotation	00:00:38.765	00:00:39.096	0.331	N
annotation	00:00:49.554	00:00:49.927	0.373	S
annotation	00:00:49.927	00:00:50.299	0.372	R
annotation	00:00:50.299	00:00:50.649	0.35	G
annotation	00:00:50.649	00:00:50.998	0.349	R
annotation	00:00:50.998	00:00:51.340	0.342	S
annotation	00:00:51.340	00:00:51.682	0.342	N
annotation	00:00:51.682	00:00:52.010	0.328	S
annotation	00:00:52.010	00:00:52.337	0.327	R
annotation	00:00:52.337	00:00:52.661	0.324	S
annotation	00:00:52.661	00:00:52.986	0.325	N
annotation	00:00:52.986	00:00:53.306	0.32	R
annotation	00:00:53.306	00:00:53.627	0.321	S
annotation	00:00:53.627	00:00:53.949	0.322	N
annotation	00:00:53.949	00:00:54.271	0.322	D
annotation	00:00:54.271	00:00:54.584	0.313	N
annotation	00:00:54.584	00:00:54.896	0.312	D
annotation	00:01:21.834	00:01:22.568	0.734	P
annotation	00:01:22.568	00:01:22.892	0.324	M
annotation	00:01:22.892	00:01:23.215	0.323	G
annotation	00:01:23.215	00:01:23.536	0.321	N
annotation	00:01:23.536	00:01:24.211	0.675	D
annotation	00:01:24.211	00:01:24.566	0.355	G
annotation	00:01:24.566	00:01:24.893	0.327	D
annotation	00:01:24.893	00:01:25.551	0.658	P
annotation	00:01:25.551	00:01:25.882	0.331	M
annotation	00:01:25.882	00:01:26.180	0.298	G
annotation	00:01:26.180	00:01:26.478	0.298	R
annotation	00:01:26.478	00:01:26.827	0.349	S
annotation	00:01:26.827	00:01:27.176	0.349	N
annotation	00:01:27.176	00:01:27.528	0.352	S
annotation	00:01:27.528	00:01:27.879	0.351	R
annotation	00:01:27.879	00:01:28.223	0.344	G
annotation	00:01:28.223	00:01:29.252	1.029	M
annotation	00:01:29.252	00:01:29.585	0.333	G
annotation	00:01:29.585	00:01:29.918	0.333	M
annotation	00:01:29.918	00:01:30.214	0.296	P
annotation	00:01:30.214	00:01:30.838	0.624	G
annotation	00:01:30.838	00:01:31.167	0.329	M
annotation	00:01:31.167	00:01:31.500	0.333	N
annotation	00:01:31.500	00:01:31.833	0.333	D
annotation	00:01:31.833	00:01:32.156	0.323	N
annotation	00:01:32.156	00:01:32.478	0.322	P
annotation	00:01:43.259	00:01:43.612	0.353	D
annotation	00:01:43.612	00:01:43.965	0.353	N
annotation	00:01:43.965	00:01:44.240	0.275	S
annotation	00:01:44.240	00:01:44.796	0.556	R
annotation	00:01:44.796	00:01:45.077	0.281	S
annotation	00:01:45.077	00:01:45.451	0.374	R
annotation	00:01:45.451	00:01:45.826	0.375	G
annotation	00:01:45.826	00:01:46.169	0.343	S
annotation	00:01:46.169	00:01:46.511	0.342	R
annotation	00:01:46.511	00:01:46.874	0.363	G
annotation	00:01:46.874	00:01:47.238	0.364	R
annotation	00:01:47.238	00:01:47.572	0.334	S
annotation	00:01:47.572	00:01:47.907	0.335	N
annotation	00:01:47.907	00:01:48.262	0.355	D
annotation	00:01:48.262	00:01:48.618	0.356	N
annotation	00:01:48.618	00:01:48.907	0.289	D
annotation	00:01:48.907	00:01:49.197	0.29	G
annotation	00:01:49.197	00:01:49.510	0.313	R
annotation	00:01:49.510	00:01:49.824	0.314	S
annotation	00:01:49.824	00:01:50.147	0.323	N
annotation	00:01:50.147	00:01:50.470	0.323	D
annotation	00:01:50.470	00:01:50.809	0.339	P
annotation	00:01:50.809	00:01:51.148	0.339	N
annotation	00:01:51.148	00:01:51.480	0.332	D
annotation	00:01:51.480	00:01:51.812	0.332	P
annotation	00:01:51.812	00:01:52.165	0.353	M
annotation	00:01:52.165	00:01:52.518	0.353	G
annotation	00:01:52.518	00:01:52.888	0.37	M
annotation	00:01:52.888	00:01:53.257	0.369	P
annotation	00:01:53.257	00:01:53.606	0.349	D
annotation	00:01:53.606	00:01:53.954	0.348	N
annotation	00:02:04.766	00:02:05.083	0.317	S
annotation	00:02:05.083	00:02:05.716	0.633	R
annotation	00:02:05.716	00:02:06.033	0.317	N
annotation	00:02:06.033	00:02:06.332	0.299	S
