Tier	Begin time	End time	Duration	Annotation
annotation	00:00:05.626	00:00:06.302	0.6759999999999999	G
annotation	00:00:06.302	00:00:07.001	0.6990000000000001	G
annotation	00:00:07.001	00:00:08.456	1.456	R
annotation	00:00:08.456	00:00:08.865	0.409	S
annotation	00:00:08.865	00:00:09.273	0.409	S
annotation	00:00:09.273	00:00:09.698	0.425	R
annotation	00:00:09.698	00:00:10.122	0.425	R
annotation	00:00:10.122	00:00:10.502	0.379	G
annotation	00:00:10.502	00:00:10.881	0.379	G
annotation	00:00:10.881	00:00:11.257	0.375	R
annotation	00:00:11.257	00:00:11.632	0.375	R
annotation	00:00:11.632	00:00:12.009	0.377	S
annotation	00:00:12.009	00:00:12.386	0.377	R
annotation	00:00:12.386	00:00:12.758	0.373	G
annotation	00:00:12.758	00:00:13.131	0.373	R
annotation	00:00:13.131	00:00:13.500	0.368	S
annotation	00:00:13.500	00:00:13.868	0.368	R
annotation	00:00:13.868	00:00:14.246	0.37799999999999995	S
annotation	00:00:14.246	00:00:14.624	0.37799999999999995	D
annotation	00:00:14.624	00:00:15.000	0.377	S
annotation	00:00:15.000	00:00:15.377	0.377	R
annotation	00:00:15.377	00:00:15.756	0.37799999999999995	G
annotation	00:00:15.756	00:00:16.134	0.37799999999999995	P
annotation	00:00:16.134	00:00:16.521	0.387	G
annotation	00:00:16.521	00:00:16.907	0.387	R
annotation	00:00:16.907	00:00:17.280	0.373	S
annotation	00:00:17.280	00:00:17.653	0.373	R
annotation	00:00:17.653	00:00:18.059	0.405	G
annotation	00:00:18.059	00:00:18.464	0.405	P
annotation	00:00:18.464	00:00:18.851	0.38799999999999996	G
annotation	00:00:18.851	00:00:19.239	0.38799999999999996	G
annotation	00:00:19.239	00:00:19.608	0.369	R
annotation	00:00:19.608	00:00:19.976	0.369	S
annotation	00:00:19.976	00:00:20.380	0.40299999999999997	R
annotation	00:00:20.380	00:00:20.783	0.40299999999999997	G
annotation	00:00:20.783	00:00:21.161	0.37799999999999995	R
annotation	00:00:21.161	00:00:21.539	0.37799999999999995	R
annotation	00:00:21.539	00:00:21.898	0.359	S
annotation	00:00:21.898	00:00:22.257	0.359	D
annotation	00:00:22.257	00:00:22.629	0.371	S
annotation	00:00:22.629	00:00:23.000	0.371	R
annotation	00:00:23.000	00:00:23.348	0.348	G
annotation	00:00:23.348	00:00:23.696	0.348	R
annotation	00:00:23.696	00:00:24.082	0.386	G
annotation	00:00:24.082	00:00:24.469	0.386	P
annotation	00:00:24.469	00:00:24.860	0.392	G
annotation	00:00:24.860	00:00:25.252	0.392	P
annotation	00:00:25.252	00:00:25.636	0.38299999999999995	D
annotation	00:00:25.636	00:00:26.019	0.38299999999999995	P
annotation	00:00:26.019	00:00:26.404	0.385	D
annotation	00:00:26.404	00:00:26.788	0.385	S^
annotation	00:00:26.788	00:00:27.178	0.39	D
annotation	00:00:27.178	00:00:27.568	0.39	D
annotation	00:00:27.568	00:00:27.926	0.358	P
annotation	00:00:27.926	00:00:28.284	0.358	G
annotation	00:00:28.284	00:00:28.648	0.363	D
annotation	00:00:28.648	00:00:29.011	0.363	P
annotation	00:00:29.011	00:00:29.378	0.36700000000000005	G
annotation	00:00:29.378	00:00:29.745	0.36700000000000005	R
annotation	00:00:29.745	00:00:30.548	0.8029999999999999	G
annotation	00:00:30.548	00:00:31.297	0.7490000000000001	G
annotation	00:00:31.297	00:00:32.753	1.456	P
annotation	00:00:32.753	00:00:33.123	0.37	G
annotation	00:00:33.123	00:00:33.493	0.37	G
annotation	00:00:33.493	00:00:33.843	0.35	P
annotation	00:00:33.843	00:00:34.192	0.35	P
annotation	00:00:34.192	00:00:34.571	0.379	D
annotation	00:00:34.571	00:00:34.950	0.379	D
annotation	00:00:34.950	00:00:35.762	0.8109999999999999	P
annotation	00:00:35.762	00:00:36.134	0.37200000000000005	D
annotation	00:00:36.134	00:00:36.506	0.37200000000000005	S^
annotation	00:00:36.506	00:00:36.900	0.39399999999999996	D
annotation	00:00:36.900	00:00:37.293	0.39399999999999996	D
annotation	00:00:37.293	00:00:37.656	0.363	P
annotation	00:00:37.656	00:00:38.019	0.363	G
annotation	00:00:38.019	00:00:38.392	0.373	D
annotation	00:00:38.392	00:00:38.766	0.373	P
annotation	00:00:38.766	00:00:39.145	0.379	D
annotation	00:00:39.145	00:00:39.523	0.379	G
annotation	00:00:39.523	00:00:39.905	0.382	D
annotation	00:00:39.905	00:00:40.287	0.382	P
annotation	00:00:40.287	00:00:40.661	0.374	G
annotation	00:00:40.661	00:00:41.035	0.374	R
annotation	00:00:41.035	00:00:41.420	0.385	S
annotation	00:00:41.420	00:00:41.804	0.385	R
annotation	00:00:41.804	00:00:42.157	0.35200000000000004	G
annotation	00:00:42.157	00:00:42.509	0.35200000000000004	G
annotation	00:00:42.509	00:00:42.884	0.375	P
annotation	00:00:42.884	00:00:43.259	0.375	P
annotation	00:00:43.259	00:00:43.626	0.368	D
annotation	00:00:43.626	00:00:43.994	0.368	P
annotation	00:00:43.994	00:00:44.374	0.38	D
annotation	00:00:44.374	00:00:44.754	0.38	S^
annotation	00:00:44.754	00:00:45.132	0.379	D
annotation	00:00:45.132	00:00:45.511	0.379	S^
annotation	00:00:45.511	00:00:45.873	0.36200000000000004	R^
annotation	00:00:45.873	00:00:46.236	0.36200000000000004	S^
annotation	00:00:46.236	00:00:46.630	0.39399999999999996	G^
annotation	00:00:46.630	00:00:47.391	0.7609999999999999	R^
annotation	00:00:47.391	00:00:47.758	0.36700000000000005	S^
annotation	00:00:47.758	00:00:48.128	0.37	D
annotation	00:00:48.128	00:00:48.498	0.37	S^
annotation	00:00:48.498	00:00:48.912	0.414	R^
annotation	00:00:48.912	00:00:49.714	0.8009999999999999	S^
annotation	00:00:49.714	00:00:50.101	0.38799999999999996	D
annotation	00:00:50.101	00:00:50.473	0.37200000000000005	P
annotation	00:00:50.473	00:00:50.845	0.37200000000000005	D
annotation	00:00:50.845	00:00:51.241	0.395	S^
annotation	00:00:51.241	00:00:52.014	0.773	D
annotation	00:00:52.014	00:00:52.392	0.37799999999999995	P
annotation	00:00:52.392	00:00:52.777	0.385	G
annotation	00:00:52.777	00:00:53.161	0.385	R
annotation	00:00:53.161	00:00:53.535	0.373	S
annotation	00:00:53.535	00:00:53.908	0.373	R
annotation	00:00:53.908	00:00:54.660	0.752	G
annotation	00:00:54.660	00:00:55.004	0.345	R
annotation	00:00:55.004	00:00:55.349	0.345	G
annotation	00:00:55.349	00:00:55.700	0.35100000000000003	R
annotation	00:00:55.700	00:00:56.052	0.35100000000000003	S
annotation	00:00:56.052	00:00:56.800	0.748	R
annotation	00:00:56.800	00:00:57.181	0.381	S
annotation	00:00:57.181	00:00:57.562	0.381	R
annotation	00:00:57.562	00:00:57.910	0.348	S
annotation	00:00:57.910	00:00:58.258	0.348	G
annotation	00:00:58.258	00:00:58.613	0.355	R
annotation	00:00:58.613	00:00:58.968	0.355	G
annotation	00:00:58.968	00:00:59.340	0.37200000000000005	S
annotation	00:00:59.340	00:00:59.711	0.37200000000000005	R
annotation	00:00:59.711	00:01:00.083	0.37200000000000005	S
annotation	00:01:00.083	00:01:00.455	0.37200000000000005	D
annotation	00:01:00.455	00:01:00.813	0.358	S
annotation	00:01:00.813	00:01:01.171	0.358	R
annotation	00:01:01.171	00:01:01.543	0.373	G
annotation	00:01:01.543	00:01:01.916	0.373	R
annotation	00:01:01.916	00:01:02.262	0.34600000000000003	G
annotation	00:01:02.262	00:01:02.607	0.34600000000000003	P
annotation	00:01:02.607	00:01:02.991	0.384	G
annotation	00:01:02.991	00:01:03.376	0.384	P
annotation	00:01:03.376	00:01:04.109	0.733	D
annotation	00:01:04.109	00:01:05.594	1.485	P
annotation	00:01:05.594	00:01:06.012	0.418	G
annotation	00:01:06.012	00:01:06.430	0.418	P
annotation	00:01:06.430	00:01:06.782	0.353	D
annotation	00:01:06.782	00:01:07.135	0.353	P
annotation	00:01:07.135	00:01:07.508	0.373	D
annotation	00:01:07.508	00:01:07.881	0.373	S^
annotation	00:01:07.881	00:01:08.231	0.35100000000000003	R^
annotation	00:01:08.231	00:01:08.582	0.35100000000000003	G^
annotation	00:01:08.582	00:01:09.319	0.737	R^
annotation	00:01:09.319	00:01:09.677	0.358	G^
annotation	00:01:09.677	00:01:10.389	0.713	S^
annotation	00:01:10.389	00:01:10.744	0.355	R^
annotation	00:01:10.744	00:01:11.454	0.71	D
annotation	00:01:11.454	00:01:11.829	0.374	S^
annotation	00:01:11.829	00:01:12.566	0.738	P
annotation	00:01:12.566	00:01:12.930	0.364	D
annotation	00:01:12.930	00:01:13.316	0.386	S
annotation	00:01:13.316	00:01:13.702	0.386	R
annotation	00:01:13.702	00:01:14.041	0.33899999999999997	G
annotation	00:01:14.041	00:01:14.737	0.696	S
annotation	00:01:14.737	00:01:15.094	0.35700000000000004	D
annotation	00:01:15.094	00:01:15.818	0.7240000000000001	P
annotation	00:01:15.818	00:01:16.203	0.384	G
annotation	00:01:16.203	00:01:16.587	0.384	R
annotation	00:01:16.587	00:01:16.986	0.39899999999999997	S
annotation	00:01:16.986	00:01:17.385	0.39899999999999997	R
annotation	00:01:17.385	00:01:17.738	0.353	G
annotation	00:01:17.738	00:01:18.092	0.353	G
annotation	00:02:03.933	00:02:04.714	0.7809999999999999	G
annotation	00:02:04.714	00:02:05.332	0.617	G
annotation	00:02:05.332	00:02:05.671	0.33899999999999997	G
annotation	00:02:05.671	00:02:06.010	0.33899999999999997	P
annotation	00:02:06.010	00:02:06.363	0.354	G
annotation	00:02:06.363	00:02:06.717	0.354	R
annotation	00:02:06.717	00:02:07.091	0.374	R
annotation	00:02:07.091	00:02:07.466	0.374	G
annotation	00:02:07.466	00:02:07.828	0.363	P
annotation	00:02:07.828	00:02:08.191	0.363	G
annotation	00:02:08.191	00:02:09.679	1.4880000000000002	P
annotation	00:02:09.679	00:02:10.067	0.38799999999999996	G
annotation	00:02:10.067	00:02:10.455	0.38799999999999996	G
annotation	00:02:10.455	00:02:10.823	0.368	D
annotation	00:02:10.823	00:02:11.190	0.368	D
annotation	00:02:11.190	00:02:11.907	0.7170000000000001	P
annotation	00:02:11.907	00:02:12.268	0.36	G
annotation	00:02:12.268	00:02:12.628	0.36	G
annotation	00:02:12.628	00:02:13.016	0.38799999999999996	D
annotation	00:02:13.016	00:02:13.404	0.38799999999999996	P
annotation	00:02:13.404	00:02:13.779	0.375	G
annotation	00:02:13.779	00:02:14.154	0.375	P
annotation	00:02:14.154	00:02:14.529	0.375	G
annotation	00:02:14.529	00:02:14.904	0.375	R
annotation	00:02:14.904	00:02:15.294	0.39	S
annotation	00:02:15.294	00:02:15.684	0.39	R
annotation	00:02:15.684	00:02:17.143	1.459	G
annotation	00:02:17.143	00:02:17.828	0.685	R
annotation	00:02:17.828	00:02:18.508	0.68	S
annotation	00:02:18.508	00:02:20.014	1.506	R
annotation	00:02:20.014	00:02:21.499	1.486	D
annotation	00:02:21.499	00:02:22.235	0.735	R
annotation	00:02:22.235	00:02:22.923	0.688	D
annotation	00:02:22.923	00:02:24.323	1.4	S
annotation	00:02:24.323	00:02:25.764	1.4409999999999998	R
annotation	00:02:25.764	00:02:26.497	0.732	G
annotation	00:02:26.497	00:02:27.237	0.74	R
annotation	00:02:33.229	00:02:33.955	0.726	G
