Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.806	00:00:02.607	0.8	P
annotation	00:00:02.607	00:00:03.407	0.8	M
annotation	00:00:03.407	00:00:04.208	0.8	G
annotation	00:00:04.208	00:00:05.008	0.8	G
annotation	00:00:05.008	00:00:05.809	0.8	R
annotation	00:00:05.809	00:00:06.209	0.4	G
annotation	00:00:06.209	00:00:06.609	0.4	R
annotation	00:00:06.609	00:00:08.210	1.601	S
annotation	00:00:18.216	00:00:18.712	0.496	M
annotation	00:00:18.712	00:00:19.207	0.496	R
annotation	00:00:19.207	00:00:19.703	0.496	G
annotation	00:00:19.703	00:00:20.198	0.496	R
annotation	00:00:20.198	00:00:21.190	0.991	S
annotation	00:00:21.190	00:00:21.685	0.496	R
annotation	00:00:21.685	00:00:22.181	0.496	G
annotation	00:00:22.181	00:00:22.677	0.496	M
annotation	00:00:22.677	00:00:23.172	0.496	P
annotation	00:00:23.172	00:00:23.668	0.496	M
annotation	00:00:23.668	00:00:24.252	0.584	D
annotation	00:00:24.252	00:00:24.836	0.584	D
annotation	00:00:24.836	00:00:25.332	0.496	N
annotation	00:00:25.332	00:00:25.828	0.496	N
annotation	00:00:25.828	00:00:26.323	0.496	S
annotation	00:00:26.323	00:00:27.314	0.991	P
annotation	00:00:49.897	00:00:50.392	0.496	D
annotation	00:00:50.392	00:00:50.888	0.496	N
annotation	00:00:50.888	00:00:51.384	0.496	S
annotation	00:00:51.384	00:00:52.375	0.991	R
annotation	00:00:52.375	00:00:52.870	0.496	R
annotation	00:00:52.870	00:00:53.366	0.496	N
annotation	00:00:53.366	00:00:53.862	0.496	S
annotation	00:00:53.862	00:00:54.357	0.496	R
annotation	00:00:54.357	00:00:55.349	0.991	G
annotation	00:00:55.349	00:00:55.844	0.496	M
annotation	00:00:55.844	00:00:56.340	0.496	R
annotation	00:00:56.340	00:00:56.835	0.496	G
annotation	00:00:56.835	00:00:57.376	0.541	R
annotation	00:00:57.376	00:00:57.917	0.541	S
annotation	00:00:57.917	00:00:58.412	0.496	R
annotation	00:00:58.412	00:00:59.403	0.991	N
annotation	00:00:59.403	00:00:59.899	0.496	S
annotation	00:00:59.899	00:01:00.890	0.991	D
annotation	00:01:00.890	00:01:01.386	0.496	N
annotation	00:01:01.386	00:01:01.882	0.496	D
annotation	00:01:01.882	00:01:02.377	0.496	P
annotation	00:01:02.377	00:01:02.873	0.496	D
annotation	00:01:02.873	00:01:03.368	0.496	P
annotation	00:01:03.368	00:01:03.864	0.496	P
annotation	00:01:03.864	00:01:04.360	0.496	M
annotation	00:01:04.360	00:01:04.855	0.496	G
annotation	00:01:04.855	00:01:05.490	0.635	M
annotation	00:01:05.490	00:01:06.125	0.635	R
annotation	00:01:06.125	00:01:07.612	1.4869999999999999	P
annotation	00:01:07.612	00:01:08.107	0.496	P
annotation	00:01:08.107	00:01:08.603	0.496	M
