Tier	Begin time	End time	Duration	Annotation
annotation	00:00:04.285	00:00:04.994	0.709	S
annotation	00:00:04.994	00:00:05.670	0.676	R
annotation	00:00:05.670	00:00:06.334	0.664	G
annotation	00:00:06.334	00:00:06.674	0.34	R
annotation	00:00:06.674	00:00:07.014	0.34	G
annotation	00:00:07.014	00:00:08.270	1.256	R
annotation	00:00:08.270	00:00:08.626	0.356	R
annotation	00:00:08.626	00:00:08.982	0.356	G
annotation	00:00:08.982	00:00:09.324	0.342	R
annotation	00:00:09.324	00:00:09.666	0.342	R
annotation	00:00:09.666	00:00:10.348	0.682	S
annotation	00:00:10.348	00:00:10.700	0.352	S
annotation	00:00:10.700	00:00:11.054	0.354	R
annotation	00:00:11.054	00:00:11.388	0.334	S
annotation	00:00:11.388	00:00:11.722	0.334	N
annotation	00:00:11.722	00:00:12.400	0.678	D
annotation	00:00:12.400	00:00:12.736	0.336	G
annotation	00:00:12.736	00:00:13.072	0.336	R
annotation	00:00:13.072	00:00:13.428	0.356	R
annotation	00:00:13.428	00:00:13.784	0.356	G
annotation	00:00:13.784	00:00:14.136	0.352	R
annotation	00:00:14.136	00:00:14.490	0.354	S
annotation	00:00:14.490	00:00:14.842	0.352	N
annotation	00:00:14.842	00:00:15.194	0.352	D
annotation	00:00:15.194	00:00:15.504	0.31	S
annotation	00:00:15.504	00:00:15.814	0.31	R
annotation	00:00:15.814	00:00:16.178	0.364	P
annotation	00:00:16.178	00:00:16.542	0.364	M
annotation	00:00:16.542	00:00:16.878	0.336	G
annotation	00:00:16.878	00:00:17.212	0.334	R
annotation	00:00:17.212	00:00:17.518	0.306	S
annotation	00:00:17.518	00:00:17.824	0.306	D
annotation	00:00:17.824	00:00:18.144	0.32	D
annotation	00:00:18.144	00:00:18.466	0.322	M
annotation	00:00:18.466	00:00:18.794	0.328	G
annotation	00:00:18.794	00:00:19.124	0.33	R
annotation	00:00:19.124	00:00:19.448	0.324	S
annotation	00:00:19.448	00:00:19.774	0.326	D
annotation	00:00:19.774	00:00:20.092	0.318	S
annotation	00:00:20.092	00:00:20.410	0.318	R
annotation	00:00:20.410	00:00:20.742	0.332	M
annotation	00:00:20.742	00:00:21.072	0.33	P
annotation	00:00:21.072	00:00:21.408	0.336	D
annotation	00:00:21.408	00:00:21.742	0.334	R
annotation	00:00:21.742	00:00:22.450	0.708	S
annotation	00:00:22.450	00:00:22.790	0.34	M
annotation	00:00:22.790	00:00:23.128	0.338	P
annotation	00:00:23.128	00:00:23.470	0.342	D
annotation	00:00:23.470	00:00:23.810	0.34	N
annotation	00:00:23.812	00:00:24.166	0.354	D
annotation	00:00:24.166	00:00:24.520	0.354	M
annotation	00:00:24.520	00:00:24.880	0.36	G
annotation	00:00:24.880	00:00:25.240	0.36	R
annotation	00:00:25.240	00:00:25.588	0.348	S
annotation	00:00:25.588	00:00:25.936	0.348	D
annotation	00:00:47.772	00:00:48.120	0.348	D
annotation	00:00:48.120	00:00:48.470	0.35	D
annotation	00:00:48.470	00:00:48.796	0.326	P
annotation	00:00:48.796	00:00:49.120	0.324	M
annotation	00:00:49.120	00:00:49.454	0.334	P
annotation	00:00:49.454	00:00:49.788	0.334	D
annotation	00:00:49.788	00:00:50.124	0.336	R
annotation	00:00:50.124	00:00:50.460	0.336	M
annotation	00:00:50.460	00:00:50.802	0.342	P
annotation	00:00:50.802	00:00:51.144	0.342	D
annotation	00:00:51.144	00:00:51.780	0.636	M
annotation	00:00:51.780	00:00:52.112	0.332	G
annotation	00:00:52.112	00:00:52.444	0.332	R
annotation	00:00:52.444	00:00:52.792	0.348	S
annotation	00:00:52.792	00:00:53.140	0.348	R
annotation	00:00:53.140	00:00:53.490	0.35	R
annotation	00:00:53.490	00:00:53.838	0.348	S
annotation	00:00:53.838	00:00:54.202	0.364	N
annotation	00:00:54.202	00:00:54.566	0.364	D
annotation	00:00:54.566	00:00:54.878	0.312	N
annotation	00:00:54.878	00:00:55.192	0.314	D
annotation	00:00:55.192	00:00:55.548	0.356	P
annotation	00:00:55.548	00:00:55.906	0.358	D
annotation	00:00:55.906	00:00:56.254	0.348	P
annotation	00:00:56.254	00:00:56.602	0.348	M
annotation	00:00:56.602	00:00:56.940	0.338	P
annotation	00:00:56.940	00:00:57.278	0.338	D
annotation	00:00:57.278	00:00:58.686	1.408	S
annotation	00:01:09.790	00:01:10.184	0.394	P
annotation	00:01:10.184	00:01:10.580	0.396	D
annotation	00:01:10.580	00:01:10.944	0.364	S
annotation	00:01:10.944	00:01:11.308	0.364	R
annotation	00:01:11.308	00:01:11.624	0.316	G
annotation	00:01:11.624	00:01:11.940	0.316	R
annotation	00:01:11.940	00:01:12.656	0.716	R
annotation	00:01:12.656	00:01:12.994	0.338	G
annotation	00:01:12.994	00:01:13.330	0.336	R
annotation	00:01:13.330	00:01:13.658	0.328	R
annotation	00:01:13.658	00:01:13.984	0.326	G
annotation	00:01:13.984	00:01:14.348	0.364	R
