Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.700	00:00:02.376	0.676	S
annotation	00:00:02.376	00:00:03.053	0.677	R
annotation	00:00:03.053	00:00:03.729	0.676	G
annotation	00:00:03.729	00:00:04.067	0.338	R
annotation	00:00:04.067	00:00:04.406	0.339	G
annotation	00:00:04.406	00:00:05.758	1.352	R
annotation	00:00:05.758	00:00:06.097	0.339	R
annotation	00:00:06.097	00:00:06.435	0.338	G
annotation	00:00:06.435	00:00:06.773	0.338	R
annotation	00:00:06.773	00:00:07.111	0.338	R
annotation	00:00:07.111	00:00:07.774	0.663	S
annotation	00:00:07.774	00:00:08.106	0.332	S
annotation	00:00:08.106	00:00:08.437	0.331	R
annotation	00:00:08.437	00:00:08.769	0.332	S
annotation	00:00:08.769	00:00:09.100	0.331	N
annotation	00:00:09.100	00:00:09.763	0.663	D
annotation	00:00:09.763	00:00:10.095	0.332	G
annotation	00:00:10.095	00:00:10.426	0.331	R
annotation	00:00:10.426	00:00:10.758	0.332	R
annotation	00:00:10.758	00:00:11.089	0.331	G
annotation	00:00:11.089	00:00:11.421	0.332	R
annotation	00:00:11.421	00:00:11.752	0.331	S
annotation	00:00:11.752	00:00:12.084	0.332	N
annotation	00:00:12.084	00:00:12.415	0.331	D
annotation	00:00:12.415	00:00:12.747	0.332	S
annotation	00:00:12.747	00:00:13.078	0.331	R
annotation	00:00:13.078	00:00:13.410	0.332	P
annotation	00:00:13.410	00:00:13.741	0.331	M
annotation	00:00:13.741	00:00:14.073	0.332	G
annotation	00:00:14.073	00:00:14.404	0.331	R
annotation	00:00:14.404	00:00:14.736	0.332	S
annotation	00:00:14.736	00:00:15.067	0.331	D
annotation	00:00:15.067	00:00:15.399	0.332	D
annotation	00:00:15.399	00:00:15.731	0.332	M
annotation	00:00:15.731	00:00:16.062	0.331	G
annotation	00:00:16.062	00:00:16.394	0.332	R
annotation	00:00:16.394	00:00:16.725	0.331	S
annotation	00:00:16.725	00:00:17.057	0.332	D
annotation	00:00:17.057	00:00:17.388	0.331	S
annotation	00:00:17.388	00:00:17.720	0.332	R
annotation	00:00:17.720	00:00:18.033	0.313	M
annotation	00:00:18.033	00:00:18.346	0.313	P
annotation	00:00:18.346	00:00:18.659	0.313	D
annotation	00:00:18.659	00:00:18.972	0.313	R
annotation	00:00:18.972	00:00:19.598	0.626	S
annotation	00:00:19.598	00:00:19.911	0.313	M
annotation	00:00:19.911	00:00:20.224	0.313	P
annotation	00:00:20.224	00:00:20.537	0.313	D
annotation	00:00:20.537	00:00:20.850	0.313	N
annotation	00:00:20.850	00:00:21.163	0.313	D
annotation	00:00:21.163	00:00:21.476	0.313	M
annotation	00:00:21.476	00:00:21.789	0.313	G
annotation	00:00:21.789	00:00:22.102	0.313	R
annotation	00:00:22.102	00:00:22.415	0.313	S
annotation	00:00:22.415	00:00:22.728	0.313	D
annotation	00:00:22.728	00:00:23.053	0.325	D
annotation	00:00:23.053	00:00:23.379	0.326	D
annotation	00:00:23.379	00:00:23.704	0.325	P
annotation	00:00:23.704	00:00:24.029	0.325	M
annotation	00:00:24.029	00:00:24.355	0.326	P
annotation	00:00:24.355	00:00:24.680	0.325	D
annotation	00:00:24.680	00:00:25.005	0.325	R
annotation	00:00:25.005	00:00:25.331	0.326	M
annotation	00:00:25.331	00:00:25.656	0.325	P
annotation	00:00:25.656	00:00:25.982	0.326	D
annotation	00:00:25.982	00:00:26.632	0.65	M
annotation	00:00:26.632	00:00:26.958	0.326	G
annotation	00:00:26.958	00:00:27.283	0.325	R
annotation	00:00:27.283	00:00:27.608	0.325	S
annotation	00:00:27.608	00:00:27.934	0.326	R
annotation	00:00:27.934	00:00:28.253	0.319	R
annotation	00:00:28.253	00:00:28.571	0.318	S
annotation	00:00:28.571	00:00:28.890	0.319	N
annotation	00:00:28.890	00:00:29.209	0.319	D
annotation	00:00:29.209	00:00:29.528	0.319	N
annotation	00:00:29.528	00:00:29.847	0.319	D
annotation	00:00:29.847	00:00:30.165	0.318	P
annotation	00:00:30.165	00:00:30.484	0.319	D
annotation	00:00:30.484	00:00:30.803	0.319	P
annotation	00:00:30.803	00:00:31.122	0.319	M
annotation	00:00:31.122	00:00:31.441	0.319	P
annotation	00:00:31.441	00:00:31.760	0.319	D
annotation	00:00:31.760	00:00:33.035	1.275	S
annotation	00:00:33.035	00:00:33.347	0.312	P
annotation	00:00:33.347	00:00:33.660	0.313	D
annotation	00:00:33.660	00:00:33.973	0.313	S
annotation	00:00:33.973	00:00:34.286	0.313	R
annotation	00:00:34.286	00:00:34.598	0.312	G
annotation	00:00:34.598	00:00:34.911	0.313	R
annotation	00:00:34.911	00:00:35.536	0.625	R
annotation	00:00:35.536	00:00:35.849	0.313	G
annotation	00:00:35.849	00:00:36.162	0.313	R
annotation	00:00:36.162	00:00:36.474	0.312	R
annotation	00:00:36.474	00:00:36.787	0.313	G
annotation	00:00:36.787	00:00:37.100	0.313	R
annotation	00:00:37.100	00:00:37.413	0.313	S
annotation	00:00:37.413	00:00:37.725	0.312	N
annotation	00:00:37.725	00:00:38.038	0.313	D
annotation	00:00:38.038	00:00:38.351	0.313	R
annotation	00:00:38.351	00:00:38.977	0.626	S
annotation	00:00:38.977	00:00:39.290	0.313	N
annotation	00:00:39.290	00:00:39.603	0.313	D
annotation	00:00:39.603	00:00:39.916	0.313	P
annotation	00:00:39.916	00:00:40.229	0.313	D
annotation	00:00:40.229	00:00:40.855	0.626	M
annotation	00:00:40.855	00:00:41.168	0.313	G
annotation	00:00:41.168	00:00:41.481	0.313	R
annotation	00:00:41.481	00:00:41.794	0.313	S
annotation	00:00:41.794	00:00:42.420	0.626	S
annotation	00:00:42.420	00:00:42.733	0.313	N
annotation	00:00:42.733	00:00:43.046	0.313	D
annotation	00:00:43.046	00:00:43.659	0.613	S
annotation	00:00:43.659	00:00:43.966	0.307	R
annotation	00:00:43.966	00:00:44.272	0.306	G
annotation	00:00:44.272	00:00:44.579	0.307	R
annotation	00:00:44.579	00:00:44.885	0.306	S
annotation	00:00:44.885	00:00:45.498	0.613	R
annotation	00:00:45.498	00:00:45.805	0.307	S
annotation	00:00:45.805	00:00:46.111	0.306	G
annotation	00:00:46.111	00:00:46.417	0.306	R
annotation	00:00:46.417	00:00:46.724	0.307	S
annotation	00:00:46.724	00:00:47.030	0.306	N
annotation	00:00:47.030	00:00:47.337	0.307	D
annotation	00:00:47.337	00:00:47.643	0.306	P
annotation	00:00:47.643	00:00:47.950	0.307	D
annotation	00:00:47.950	00:00:48.588	0.638	R
annotation	00:00:48.588	00:00:48.907	0.319	S
annotation	00:00:48.907	00:00:49.226	0.319	G
annotation	00:00:49.226	00:00:49.545	0.319	R
annotation	00:00:49.545	00:00:49.864	0.319	G
annotation	00:00:49.864	00:00:50.182	0.318	S
annotation	00:00:57.345	00:00:57.652	0.307	P
annotation	00:00:57.652	00:00:57.958	0.306	N
annotation	00:00:57.958	00:00:58.270	0.312	D
annotation	00:00:58.270	00:00:58.581	0.311	N
annotation	00:00:58.581	00:00:58.892	0.311	P
annotation	00:00:58.892	00:00:59.203	0.311	D
annotation	00:00:59.203	00:00:59.515	0.312	M
annotation	00:00:59.515	00:00:59.826	0.311	P
annotation	00:00:59.826	00:01:00.137	0.311	S
annotation	00:01:00.137	00:01:00.448	0.311	R
annotation	00:01:00.448	00:01:00.760	0.312	M
annotation	00:01:00.760	00:01:01.071	0.311	P
annotation	00:01:01.071	00:01:01.382	0.311	D
annotation	00:01:01.382	00:01:01.693	0.311	N
annotation	00:01:01.693	00:01:02.938	1.245	D
annotation	00:01:02.938	00:01:03.251	0.313	N
annotation	00:01:03.251	00:01:03.563	0.312	D
annotation	00:01:03.563	00:01:03.876	0.313	P
annotation	00:01:03.876	00:01:04.501	0.625	M
annotation	00:01:04.501	00:01:04.814	0.313	P
annotation	00:01:04.814	00:01:05.127	0.313	S
annotation	00:01:05.127	00:01:05.439	0.312	N
